Model,Dataset,Condition,Metric,Mean,CI95_Low,CI95_High,N,Parse_Errors
Qwen2.5-14B,BABILong-200,no_evidence,answer_f1_relaxed,0.0,0.0,0.0,200,0
Qwen2.5-14B,BABILong-200,no_evidence,answer_f1_strict,0.0,0.0,0.0,200,0
Qwen2.5-14B,BABILong-200,no_evidence,exact_match_relaxed,0.0,0.0,0.0,200,0
Qwen2.5-14B,BABILong-200,direct,answer_f1_relaxed,0.5583333333333333,0.48833333333333334,0.6266666666666666,200,0
Qwen2.5-14B,BABILong-200,direct,answer_f1_strict,0.5583333333333333,0.48833333333333334,0.6266666666666666,200,0
Qwen2.5-14B,BABILong-200,direct,exact_match_relaxed,0.555,0.485,0.625,200,0
Qwen2.5-14B,BABILong-200,retrieve_then_read,answer_f1_relaxed,0.5166666666666667,0.44666666666666666,0.5866666666666667,200,0
Qwen2.5-14B,BABILong-200,retrieve_then_read,answer_f1_strict,0.5166666666666667,0.44666666666666666,0.5866666666666667,200,0
Qwen2.5-14B,BABILong-200,retrieve_then_read,exact_match_relaxed,0.51,0.44,0.58,200,0
Qwen3-14B,BABILong-200,no_evidence,answer_f1_relaxed,0.0,0.0,0.0,200,0
Qwen3-14B,BABILong-200,no_evidence,answer_f1_strict,0.0,0.0,0.0,200,0
Qwen3-14B,BABILong-200,no_evidence,exact_match_relaxed,0.0,0.0,0.0,200,0
Qwen3-14B,BABILong-200,direct,answer_f1_relaxed,0.4786666666666666,0.41,0.5473333333333333,200,0
Qwen3-14B,BABILong-200,direct,answer_f1_strict,0.4786666666666666,0.41,0.5473333333333333,200,0
Qwen3-14B,BABILong-200,direct,exact_match_relaxed,0.445,0.375,0.515,200,0
Qwen3-14B,BABILong-200,retrieve_then_read,answer_f1_relaxed,0.45399999999999996,0.387,0.5183333333333333,200,0
Qwen3-14B,BABILong-200,retrieve_then_read,answer_f1_strict,0.45399999999999996,0.387,0.5183333333333333,200,0
Qwen3-14B,BABILong-200,retrieve_then_read,exact_match_relaxed,0.4,0.33,0.465,200,0
Gemma3-12B,BABILong-200,no_evidence,answer_f1_relaxed,0.12166666666666666,0.08,0.16666666666666663,200,0
Gemma3-12B,BABILong-200,no_evidence,answer_f1_strict,0.12166666666666666,0.08,0.16666666666666663,200,0
Gemma3-12B,BABILong-200,no_evidence,exact_match_relaxed,0.095,0.055,0.135,200,0
Gemma3-12B,BABILong-200,direct,answer_f1_relaxed,0.5233333333333333,0.455,0.5916666666666667,200,0
Gemma3-12B,BABILong-200,direct,answer_f1_strict,0.5233333333333333,0.455,0.5916666666666667,200,0
Gemma3-12B,BABILong-200,direct,exact_match_relaxed,0.52,0.45,0.59,200,0
Gemma3-12B,BABILong-200,retrieve_then_read,answer_f1_relaxed,0.4933333333333333,0.4233333333333333,0.5600416666666661,200,0
Gemma3-12B,BABILong-200,retrieve_then_read,answer_f1_strict,0.4933333333333333,0.4233333333333333,0.5600416666666661,200,0
Gemma3-12B,BABILong-200,retrieve_then_read,exact_match_relaxed,0.49,0.42,0.56,200,0
