model_name,method,context_length,evidence_position,reasoning_type,distractor_similarity,n,answer_f1_relaxed,exact_match_relaxed,evidence_f1,parse_error_rate
gemma3:12b,direct,16000,pos_00,arithmetic,conflicting,5,0.0,0.0,0.0,0.0
gemma3:12b,direct,16000,pos_00,arithmetic,high,5,0.0,0.0,0.39999999999999997,0.0
gemma3:12b,direct,16000,pos_00,arithmetic,low,5,0.0,0.0,0.13333333333333333,0.0
gemma3:12b,direct,16000,pos_00,arithmetic,none,5,0.0,0.0,0.13333333333333333,0.0
gemma3:12b,direct,16000,pos_00,comparison,conflicting,5,0.5,0.0,0.6666666666666666,0.0
gemma3:12b,direct,16000,pos_00,comparison,high,5,0.5,0.0,0.6666666666666666,0.0
gemma3:12b,direct,16000,pos_00,comparison,low,5,0.5,0.0,0.6666666666666666,0.0
gemma3:12b,direct,16000,pos_00,comparison,none,5,0.5,0.0,0.6666666666666666,0.0
gemma3:12b,direct,16000,pos_00,multi_hop,conflicting,5,0.0,0.0,0.6666666666666666,0.0
gemma3:12b,direct,16000,pos_00,multi_hop,high,5,0.0,0.0,0.6666666666666666,0.0
gemma3:12b,direct,16000,pos_00,multi_hop,low,5,0.0,0.0,0.6666666666666666,0.0
gemma3:12b,direct,16000,pos_00,multi_hop,none,5,0.0,0.0,0.6666666666666666,0.0
gemma3:12b,direct,16000,pos_00,single_hop,conflicting,5,0.0,0.0,1.0,0.0
gemma3:12b,direct,16000,pos_00,single_hop,high,5,0.0,0.0,1.0,0.0
gemma3:12b,direct,16000,pos_00,single_hop,low,5,0.0,0.0,1.0,0.0
gemma3:12b,direct,16000,pos_00,single_hop,none,5,0.0,0.0,1.0,0.0
gemma3:12b,direct,16000,pos_01,arithmetic,conflicting,5,0.0,0.0,0.39999999999999997,0.0
gemma3:12b,direct,16000,pos_01,arithmetic,high,5,0.0,0.0,0.26666666666666666,0.0
gemma3:12b,direct,16000,pos_01,arithmetic,low,5,0.0,0.0,0.39999999999999997,0.0
gemma3:12b,direct,16000,pos_01,arithmetic,none,5,0.0,0.0,0.0,0.2
gemma3:12b,direct,16000,pos_01,comparison,conflicting,5,0.5,0.0,0.6666666666666666,0.0
gemma3:12b,direct,16000,pos_01,comparison,high,5,0.4,0.0,0.6666666666666666,0.0
gemma3:12b,direct,16000,pos_01,comparison,low,5,0.4,0.0,0.5333333333333333,0.0
gemma3:12b,direct,16000,pos_01,comparison,none,5,0.5,0.0,0.6666666666666666,0.0
gemma3:12b,direct,16000,pos_01,multi_hop,conflicting,5,0.0,0.0,0.6666666666666666,0.0
gemma3:12b,direct,16000,pos_01,multi_hop,high,5,0.0,0.0,0.6666666666666666,0.0
gemma3:12b,direct,16000,pos_01,multi_hop,low,5,0.0,0.0,0.6666666666666666,0.0
gemma3:12b,direct,16000,pos_01,multi_hop,none,5,0.0,0.0,0.6666666666666666,0.0
gemma3:12b,direct,16000,pos_01,single_hop,conflicting,5,0.0,0.0,1.0,0.0
gemma3:12b,direct,16000,pos_01,single_hop,high,5,0.0,0.0,1.0,0.0
gemma3:12b,direct,16000,pos_01,single_hop,low,5,0.0,0.0,1.0,0.0
gemma3:12b,direct,16000,pos_01,single_hop,none,5,0.0,0.0,1.0,0.0
gemma3:12b,direct,16000,pos_02,arithmetic,conflicting,5,0.0,0.0,0.13333333333333333,0.0
gemma3:12b,direct,16000,pos_02,arithmetic,high,5,0.0,0.0,0.6666666666666666,0.0
gemma3:12b,direct,16000,pos_02,arithmetic,low,5,0.0,0.0,0.0,0.0
