model_name,method,context_length,evidence_position,failure_type,count,n,rate
gemma3:12b,direct,16000,pos_00,answer_conversion_failure,20,80,0.25
gemma3:12b,direct,16000,pos_00,evidence_integration_failure,45,80,0.5625
gemma3:12b,direct,16000,pos_00,evidence_localization_failure,15,80,0.1875
gemma3:12b,direct,16000,pos_01,answer_conversion_failure,20,80,0.25
gemma3:12b,direct,16000,pos_01,evidence_integration_failure,47,80,0.5875
gemma3:12b,direct,16000,pos_01,evidence_localization_failure,13,80,0.1625
gemma3:12b,direct,16000,pos_02,answer_conversion_failure,20,80,0.25
gemma3:12b,direct,16000,pos_02,evidence_integration_failure,47,80,0.5875
gemma3:12b,direct,16000,pos_02,evidence_localization_failure,13,80,0.1625
gemma3:12b,direct,16000,pos_03,answer_conversion_failure,20,80,0.25
gemma3:12b,direct,16000,pos_03,evidence_integration_failure,51,80,0.6375
gemma3:12b,direct,16000,pos_03,evidence_localization_failure,9,80,0.1125
gemma3:12b,direct,16000,pos_04,answer_conversion_failure,20,80,0.25
gemma3:12b,direct,16000,pos_04,evidence_integration_failure,55,80,0.6875
gemma3:12b,direct,16000,pos_04,evidence_localization_failure,5,80,0.0625
gemma3:12b,direct,16000,pos_05,answer_conversion_failure,20,80,0.25
gemma3:12b,direct,16000,pos_05,evidence_integration_failure,52,80,0.65
gemma3:12b,direct,16000,pos_05,evidence_localization_failure,8,80,0.1
gemma3:12b,direct,16000,pos_06,answer_conversion_failure,20,80,0.25
gemma3:12b,direct,16000,pos_06,evidence_integration_failure,60,80,0.75
gemma3:12b,direct,16000,pos_07,answer_conversion_failure,20,80,0.25
gemma3:12b,direct,16000,pos_07,evidence_integration_failure,60,80,0.75
gemma3:12b,direct,16000,pos_08,answer_conversion_failure,9,80,0.1125
gemma3:12b,direct,16000,pos_08,evidence_integration_failure,13,80,0.1625
gemma3:12b,direct,16000,pos_08,evidence_localization_failure,9,80,0.1125
gemma3:12b,direct,16000,pos_08,success,49,80,0.6125
gemma3:12b,direct,16000,pos_09,answer_conversion_failure,12,80,0.15
gemma3:12b,direct,16000,pos_09,evidence_integration_failure,8,80,0.1
gemma3:12b,direct,16000,pos_09,evidence_localization_failure,7,80,0.0875
gemma3:12b,direct,16000,pos_09,success,53,80,0.6625
gemma3:12b,direct,32000,pos_00,answer_conversion_failure,20,80,0.25
gemma3:12b,direct,32000,pos_00,evidence_integration_failure,38,80,0.475
gemma3:12b,direct,32000,pos_00,evidence_localization_failure,22,80,0.275
gemma3:12b,direct,32000,pos_01,answer_conversion_failure,20,80,0.25
gemma3:12b,direct,32000,pos_01,evidence_integration_failure,43,80,0.5375
gemma3:12b,direct,32000,pos_01,evidence_localization_failure,17,80,0.2125
gemma3:12b,direct,32000,pos_02,answer_conversion_failure,20,80,0.25
gemma3:12b,direct,32000,pos_02,evidence_integration_failure,49,80,0.6125
gemma3:12b,direct,32000,pos_02,evidence_localization_failure,11,80,0.1375
gemma3:12b,direct,32000,pos_03,answer_conversion_failure,20,80,0.25
gemma3:12b,direct,32000,pos_03,evidence_integration_failure,44,80,0.55
gemma3:12b,direct,32000,pos_03,evidence_localization_failure,16,80,0.2
gemma3:12b,direct,32000,pos_04,answer_conversion_failure,20,80,0.25
gemma3:12b,direct,32000,pos_04,evidence_integration_failure,42,80,0.525
gemma3:12b,direct,32000,pos_04,evidence_localization_failure,18,80,0.225
gemma3:12b,direct,32000,pos_05,answer_conversion_failure,20,80,0.25
gemma3:12b,direct,32000,pos_05,evidence_integration_failure,45,80,0.5625
gemma3:12b,direct,32000,pos_05,evidence_localization_failure,15,80,0.1875
gemma3:12b,direct,32000,pos_06,answer_conversion_failure,20,80,0.25
gemma3:12b,direct,32000,pos_06,evidence_integration_failure,53,80,0.6625
gemma3:12b,direct,32000,pos_06,evidence_localization_failure,7,80,0.0875
gemma3:12b,direct,32000,pos_07,answer_conversion_failure,19,80,0.2375
gemma3:12b,direct,32000,pos_07,evidence_integration_failure,49,80,0.6125
gemma3:12b,direct,32000,pos_07,evidence_localization_failure,12,80,0.15
gemma3:12b,direct,32000,pos_08,answer_conversion_failure,17,80,0.2125
gemma3:12b,direct,32000,pos_08,evidence_integration_failure,60,80,0.75
gemma3:12b,direct,32000,pos_08,evidence_localization_failure,3,80,0.0375
gemma3:12b,direct,32000,pos_09,answer_conversion_failure,16,80,0.2
gemma3:12b,direct,32000,pos_09,evidence_integration_failure,15,80,0.1875
gemma3:12b,direct,32000,pos_09,evidence_localization_failure,4,80,0.05
gemma3:12b,direct,32000,pos_09,success,45,80,0.5625
gemma3:12b,direct,4000,pos_00,answer_conversion_failure,17,80,0.2125
gemma3:12b,direct,4000,pos_00,evidence_integration_failure,35,80,0.4375
gemma3:12b,direct,4000,pos_00,success,28,80,0.35
gemma3:12b,direct,4000,pos_01,answer_conversion_failure,26,80,0.325
gemma3:12b,direct,4000,pos_01,evidence_integration_failure,32,80,0.4
gemma3:12b,direct,4000,pos_01,evidence_localization_failure,2,80,0.025
gemma3:12b,direct,4000,pos_01,evidence_selection_failure,1,80,0.0125
gemma3:12b,direct,4000,pos_01,success,19,80,0.2375
gemma3:12b,direct,4000,pos_02,answer_conversion_failure,26,80,0.325
gemma3:12b,direct,4000,pos_02,evidence_integration_failure,21,80,0.2625
gemma3:12b,direct,4000,pos_02,evidence_localization_failure,3,80,0.0375
gemma3:12b,direct,4000,pos_02,evidence_selection_failure,2,80,0.025
gemma3:12b,direct,4000,pos_02,success,28,80,0.35
gemma3:12b,direct,4000,pos_03,answer_conversion_failure,24,80,0.3
gemma3:12b,direct,4000,pos_03,evidence_integration_failure,33,80,0.4125
gemma3:12b,direct,4000,pos_03,evidence_localization_failure,3,80,0.0375
gemma3:12b,direct,4000,pos_03,evidence_selection_failure,1,80,0.0125
gemma3:12b,direct,4000,pos_03,success,19,80,0.2375
gemma3:12b,direct,4000,pos_04,answer_conversion_failure,34,80,0.425
gemma3:12b,direct,4000,pos_04,evidence_integration_failure,29,80,0.3625
gemma3:12b,direct,4000,pos_04,evidence_localization_failure,3,80,0.0375
gemma3:12b,direct,4000,pos_04,success,14,80,0.175
gemma3:12b,direct,4000,pos_05,answer_conversion_failure,36,80,0.45
gemma3:12b,direct,4000,pos_05,evidence_integration_failure,29,80,0.3625
gemma3:12b,direct,4000,pos_05,evidence_localization_failure,4,80,0.05
gemma3:12b,direct,4000,pos_05,success,11,80,0.1375
gemma3:12b,direct,4000,pos_06,answer_conversion_failure,28,80,0.35
gemma3:12b,direct,4000,pos_06,evidence_integration_failure,17,80,0.2125
gemma3:12b,direct,4000,pos_06,evidence_localization_failure,7,80,0.0875
gemma3:12b,direct,4000,pos_06,success,28,80,0.35
gemma3:12b,direct,4000,pos_07,answer_conversion_failure,31,80,0.3875
gemma3:12b,direct,4000,pos_07,evidence_integration_failure,23,80,0.2875
gemma3:12b,direct,4000,pos_07,evidence_localization_failure,5,80,0.0625
gemma3:12b,direct,4000,pos_07,success,21,80,0.2625
gemma3:12b,direct,4000,pos_08,answer_conversion_failure,36,80,0.45
gemma3:12b,direct,4000,pos_08,evidence_integration_failure,22,80,0.275
gemma3:12b,direct,4000,pos_08,evidence_localization_failure,4,80,0.05
gemma3:12b,direct,4000,pos_08,success,18,80,0.225
gemma3:12b,direct,4000,pos_09,answer_conversion_failure,33,80,0.4125
gemma3:12b,direct,4000,pos_09,evidence_integration_failure,21,80,0.2625
gemma3:12b,direct,4000,pos_09,evidence_localization_failure,7,80,0.0875
gemma3:12b,direct,4000,pos_09,success,19,80,0.2375
gemma3:12b,direct,8000,pos_00,answer_conversion_failure,20,80,0.25
gemma3:12b,direct,8000,pos_00,evidence_integration_failure,38,80,0.475
gemma3:12b,direct,8000,pos_00,evidence_localization_failure,22,80,0.275
gemma3:12b,direct,8000,pos_01,answer_conversion_failure,19,80,0.2375
