Model,Dataset,Condition,Metric,Mean,CI95_Low,CI95_High,N,Parse_Errors
Qwen2.5-14B,Controlled-safe16K,no_evidence,answer_f1_relaxed,0.0,0.0,0.0,100,0
Qwen2.5-14B,Controlled-safe16K,no_evidence,answer_f1_strict,0.0,0.0,0.0,100,0
Qwen2.5-14B,Controlled-safe16K,no_evidence,exact_match_relaxed,0.0,0.0,0.0,100,0
Qwen2.5-14B,Controlled-safe16K,no_evidence,evidence_f1,0.0,0.0,0.0,100,0
Qwen2.5-14B,Controlled-safe16K,direct,answer_f1_relaxed,0.5683333333333334,0.4782916666666666,0.66,100,0
Qwen2.5-14B,Controlled-safe16K,direct,answer_f1_strict,0.37,0.278975,0.45699999999999996,100,0
Qwen2.5-14B,Controlled-safe16K,direct,exact_match_relaxed,0.49,0.39,0.59,100,0
Qwen2.5-14B,Controlled-safe16K,direct,evidence_f1,0.6333333333333333,0.5366666666666666,0.7233333333333333,100,0
Qwen2.5-14B,Controlled-safe16K,retrieve_then_read,answer_f1_relaxed,0.98,0.95,1.0,100,0
Qwen2.5-14B,Controlled-safe16K,retrieve_then_read,answer_f1_strict,0.8420000000000001,0.79,0.8859999999999999,100,0
Qwen2.5-14B,Controlled-safe16K,retrieve_then_read,exact_match_relaxed,0.98,0.95,1.0,100,0
Qwen2.5-14B,Controlled-safe16K,retrieve_then_read,evidence_f1,0.9790000000000001,0.9590000000000001,0.9940000000000001,100,0
Qwen2.5-14B,Controlled-safe16K,oracle,answer_f1_relaxed,0.8966666666666667,0.8666666666666667,0.9266666666666667,100,0
Qwen2.5-14B,Controlled-safe16K,oracle,answer_f1_strict,0.8109999999999999,0.7680000000000001,0.853,100,0
Qwen2.5-14B,Controlled-safe16K,oracle,exact_match_relaxed,0.69,0.6,0.78,100,0
Qwen2.5-14B,Controlled-safe16K,oracle,evidence_f1,1.0,1.0,1.0,100,0
Qwen2.5-14B,HotpotQA-ONCU-100,no_evidence,answer_f1_relaxed,0.24522222222222223,0.16499166666666668,0.32557222222222215,100,0
Qwen2.5-14B,HotpotQA-ONCU-100,no_evidence,answer_f1_strict,0.23988888888888887,0.15966388888888888,0.3192249999999999,100,0
Qwen2.5-14B,HotpotQA-ONCU-100,no_evidence,exact_match_relaxed,0.18,0.11,0.26,100,0
Qwen2.5-14B,HotpotQA-ONCU-100,no_evidence,evidence_f1,0.0,0.0,0.0,100,0
Qwen2.5-14B,HotpotQA-ONCU-100,direct,answer_f1_relaxed,0.6988339438339437,0.6179456349206349,0.7808695054945053,100,0
Qwen2.5-14B,HotpotQA-ONCU-100,direct,answer_f1_strict,0.7395006105006103,0.6643391025641027,0.8152869047619048,100,0
Qwen2.5-14B,HotpotQA-ONCU-100,direct,exact_match_relaxed,0.56,0.46,0.66,100,0
Qwen2.5-14B,HotpotQA-ONCU-100,direct,evidence_f1,0.7053095238095239,0.6458267857142856,0.758414880952381,100,0
Qwen2.5-14B,HotpotQA-ONCU-100,retrieve_then_read,answer_f1_relaxed,0.5481904761904761,0.45698809523809525,0.6386714285714286,100,0
Qwen2.5-14B,HotpotQA-ONCU-100,retrieve_then_read,answer_f1_strict,0.5581904761904761,0.4668488095238095,0.6501904761904762,100,0
Qwen2.5-14B,HotpotQA-ONCU-100,retrieve_then_read,exact_match_relaxed,0.47,0.37,0.57,100,0
Qwen2.5-14B,HotpotQA-ONCU-100,retrieve_then_read,evidence_f1,0.47507142857142853,0.40565178571428573,0.5414869047619048,100,0
Qwen2.5-14B,HotpotQA-ONCU-100,oracle,answer_f1_relaxed,0.7219291819291819,0.6374547924297925,0.8041607448107448,100,0
Qwen2.5-14B,HotpotQA-ONCU-100,oracle,answer_f1_strict,0.7625958485958485,0.6854305555555554,0.8354761904761904,100,0
Qwen2.5-14B,HotpotQA-ONCU-100,oracle,exact_match_relaxed,0.6,0.5,0.7,100,0
Qwen2.5-14B,HotpotQA-ONCU-100,oracle,evidence_f1,0.8631666666666666,0.8316648809523809,0.8951202380952382,100,0
Qwen3-14B,Controlled-safe16K,no_evidence,answer_f1_relaxed,0.01,0.0,0.025,100,0
Qwen3-14B,Controlled-safe16K,no_evidence,answer_f1_strict,0.008,0.0,0.02,100,0
Qwen3-14B,Controlled-safe16K,no_evidence,exact_match_relaxed,0.0,0.0,0.0,100,0
Qwen3-14B,Controlled-safe16K,no_evidence,evidence_f1,0.0,0.0,0.0,100,0
Qwen3-14B,Controlled-safe16K,direct,answer_f1_relaxed,0.535,0.435,0.63,100,0
Qwen3-14B,Controlled-safe16K,direct,answer_f1_strict,0.47666666666666657,0.382,0.5700333333333331,100,0
Qwen3-14B,Controlled-safe16K,direct,exact_match_relaxed,0.5,0.4,0.6,100,0
