Model,Dataset,Condition,Failure_Type,Count,Rate,N
Qwen2.5-14B,Controlled-safe16K,direct,answer_conversion_failure,43,0.43,100
Qwen2.5-14B,Controlled-safe16K,direct,evidence_integration_failure,7,0.07,100
Qwen2.5-14B,Controlled-safe16K,direct,evidence_localization_failure,33,0.33,100
Qwen2.5-14B,Controlled-safe16K,direct,evidence_selection_failure,1,0.01,100
Qwen2.5-14B,Controlled-safe16K,direct,success,16,0.16,100
Qwen2.5-14B,Controlled-safe16K,no_evidence,evidence_localization_failure,100,1.0,100
Qwen2.5-14B,Controlled-safe16K,oracle,answer_conversion_failure,48,0.48,100
Qwen2.5-14B,Controlled-safe16K,oracle,success,52,0.52,100
Qwen2.5-14B,Controlled-safe16K,retrieve_then_read,answer_conversion_failure,46,0.46,100
Qwen2.5-14B,Controlled-safe16K,retrieve_then_read,evidence_integration_failure,2,0.02,100
Qwen2.5-14B,Controlled-safe16K,retrieve_then_read,evidence_selection_failure,3,0.03,100
Qwen2.5-14B,Controlled-safe16K,retrieve_then_read,success,49,0.49,100
Qwen2.5-14B,HotpotQA-ONCU-100,direct,answer_conversion_failure,12,0.12,100
Qwen2.5-14B,HotpotQA-ONCU-100,direct,evidence_integration_failure,23,0.23,100
Qwen2.5-14B,HotpotQA-ONCU-100,direct,evidence_localization_failure,1,0.01,100
Qwen2.5-14B,HotpotQA-ONCU-100,direct,evidence_selection_failure,4,0.04,100
Qwen2.5-14B,HotpotQA-ONCU-100,direct,success,60,0.6,100
Qwen2.5-14B,HotpotQA-ONCU-100,no_evidence,evidence_localization_failure,82,0.82,100
Qwen2.5-14B,HotpotQA-ONCU-100,no_evidence,success,18,0.18,100
Qwen2.5-14B,HotpotQA-ONCU-100,oracle,answer_conversion_failure,21,0.21,100
Qwen2.5-14B,HotpotQA-ONCU-100,oracle,evidence_integration_failure,15,0.15,100
Qwen2.5-14B,HotpotQA-ONCU-100,oracle,success,64,0.64,100
Qwen2.5-14B,HotpotQA-ONCU-100,retrieve_then_read,answer_conversion_failure,4,0.04,100
Qwen2.5-14B,HotpotQA-ONCU-100,retrieve_then_read,evidence_integration_failure,24,0.24,100
Qwen2.5-14B,HotpotQA-ONCU-100,retrieve_then_read,evidence_localization_failure,21,0.21,100
Qwen2.5-14B,HotpotQA-ONCU-100,retrieve_then_read,evidence_selection_failure,3,0.03,100
Qwen2.5-14B,HotpotQA-ONCU-100,retrieve_then_read,success,48,0.48,100
Qwen3-14B,Controlled-safe16K,direct,answer_conversion_failure,26,0.26,100
Qwen3-14B,Controlled-safe16K,direct,evidence_integration_failure,15,0.15,100
Qwen3-14B,Controlled-safe16K,direct,evidence_localization_failure,23,0.23,100
Qwen3-14B,Controlled-safe16K,direct,evidence_selection_failure,1,0.01,100
Qwen3-14B,Controlled-safe16K,direct,success,35,0.35,100
Qwen3-14B,Controlled-safe16K,no_evidence,evidence_localization_failure,100,1.0,100
Qwen3-14B,Controlled-safe16K,oracle,answer_conversion_failure,38,0.38,100
Qwen3-14B,Controlled-safe16K,oracle,success,62,0.62,100
Qwen3-14B,Controlled-safe16K,retrieve_then_read,answer_conversion_failure,42,0.42,100
Qwen3-14B,Controlled-safe16K,retrieve_then_read,evidence_integration_failure,6,0.06,100
Qwen3-14B,Controlled-safe16K,retrieve_then_read,success,52,0.52,100
Qwen3-14B,HotpotQA-ONCU-100,direct,answer_conversion_failure,12,0.12,100
Qwen3-14B,HotpotQA-ONCU-100,direct,evidence_integration_failure,28,0.28,100
Qwen3-14B,HotpotQA-ONCU-100,direct,evidence_localization_failure,1,0.01,100
Qwen3-14B,HotpotQA-ONCU-100,direct,evidence_selection_failure,7,0.07,100
Qwen3-14B,HotpotQA-ONCU-100,direct,success,52,0.52,100
Qwen3-14B,HotpotQA-ONCU-100,no_evidence,evidence_localization_failure,80,0.8,100
Qwen3-14B,HotpotQA-ONCU-100,no_evidence,success,20,0.2,100
Qwen3-14B,HotpotQA-ONCU-100,oracle,answer_conversion_failure,15,0.15,100
Qwen3-14B,HotpotQA-ONCU-100,oracle,evidence_integration_failure,17,0.17,100
Qwen3-14B,HotpotQA-ONCU-100,oracle,evidence_localization_failure,1,0.01,100
Qwen3-14B,HotpotQA-ONCU-100,oracle,success,67,0.67,100
Qwen3-14B,HotpotQA-ONCU-100,retrieve_then_read,answer_conversion_failure,4,0.04,100
Qwen3-14B,HotpotQA-ONCU-100,retrieve_then_read,evidence_integration_failure,27,0.27,100
Qwen3-14B,HotpotQA-ONCU-100,retrieve_then_read,evidence_localization_failure,23,0.23,100
Qwen3-14B,HotpotQA-ONCU-100,retrieve_then_read,evidence_selection_failure,4,0.04,100
Qwen3-14B,HotpotQA-ONCU-100,retrieve_then_read,success,42,0.42,100
