long_method,score_field,valid_groups,cue_clipped_mean,cue_raw_mean,score_no_evidence_mean,score_oracle_mean,score_long_mean,oncu_clipped_mean,oncu_raw_mean
retrieve_then_read,answer_f1,81,0.9567901234567902,0.9722222222222222,0.0049382716049382,0.9234567901234568,0.8938271604938273,0.9567901234567902,0.9722222222222222
direct,answer_f1,81,0.4806584362139917,0.4868312757201645,0.0049382716049382,0.9234567901234568,0.4526748971193415,0.4806584362139917,0.4868312757201645
retrieve_then_read,answer_f1_relaxed,81,0.9876543209876544,0.9876543209876544,0.0061728395061728,1.0,0.9876543209876544,0.9876543209876544,0.9876543209876544
direct,answer_f1_relaxed,81,0.5185185185185185,0.5185185185185185,0.0061728395061728,1.0,0.5185185185185185,0.5185185185185185,0.5185185185185185
retrieve_then_read,answer_f1_strict,81,0.9567901234567902,0.9722222222222222,0.0049382716049382,0.9234567901234568,0.8938271604938273,0.9567901234567902,0.9722222222222222
direct,answer_f1_strict,81,0.4806584362139917,0.4868312757201645,0.0049382716049382,0.9234567901234568,0.4526748971193415,0.4806584362139917,0.4868312757201645
retrieve_then_read,exact_match,50,0.74,0.74,0.0,1.0,0.74,0.74,0.74
direct,exact_match,50,0.48,0.48,0.0,1.0,0.48,0.48,0.48
retrieve_then_read,exact_match_relaxed,81,0.9814814814814816,0.9814814814814816,0.0,1.0,0.9814814814814816,0.9814814814814816,0.9814814814814816
direct,exact_match_relaxed,81,0.4814814814814814,0.4814814814814814,0.0,1.0,0.4814814814814814,0.4814814814814814,0.4814814814814814
retrieve_then_read,exact_match_strict,50,0.74,0.74,0.0,1.0,0.74,0.74,0.74
direct,exact_match_strict,50,0.48,0.48,0.0,1.0,0.48,0.48,0.48
