Model,Dataset,Condition,N,Parse Errors,Strict F1,Relaxed F1,Relaxed EM,Evidence F1
Qwen2.5-14B,Controlled-safe16K,no_evidence,100,0,0.0,0.0,0.0,0.0
Qwen2.5-14B,Controlled-safe16K,direct,100,0,0.37,0.5683333333333334,0.49,0.6333333333333333
Qwen2.5-14B,Controlled-safe16K,retrieve_then_read,100,0,0.8420000000000001,0.98,0.98,0.9790000000000001
Qwen2.5-14B,Controlled-safe16K,oracle,100,0,0.8109999999999999,0.8966666666666667,0.69,1.0
Qwen2.5-14B,HotpotQA-ONCU-100,no_evidence,100,0,0.23988888888888887,0.24522222222222223,0.18,0.0
Qwen2.5-14B,HotpotQA-ONCU-100,direct,100,0,0.7395006105006103,0.6988339438339437,0.56,0.7053095238095239
Qwen2.5-14B,HotpotQA-ONCU-100,retrieve_then_read,100,0,0.5581904761904761,0.5481904761904761,0.47,0.47507142857142853
Qwen2.5-14B,HotpotQA-ONCU-100,oracle,100,0,0.7625958485958485,0.7219291819291819,0.6,0.8631666666666666
Qwen3-14B,Controlled-safe16K,no_evidence,100,0,0.008,0.01,0.0,0.0
Qwen3-14B,Controlled-safe16K,direct,100,0,0.47666666666666657,0.535,0.5,0.7030000000000001
Qwen3-14B,Controlled-safe16K,retrieve_then_read,100,0,0.8920000000000001,0.985,0.98,0.9703333333333333
Qwen3-14B,Controlled-safe16K,oracle,100,0,0.9159999999999999,0.99,0.99,1.0
Qwen3-14B,HotpotQA-ONCU-100,no_evidence,100,0,0.28904761904761905,0.288547619047619,0.2,0.0
Qwen3-14B,HotpotQA-ONCU-100,direct,100,0,0.6573577533577533,0.6265006105006105,0.49,0.6756428571428573
Qwen3-14B,HotpotQA-ONCU-100,retrieve_then_read,100,0,0.5422857142857143,0.5313910533910533,0.41,0.4524047619047619
Qwen3-14B,HotpotQA-ONCU-100,oracle,100,1,0.7824559884559885,0.7517893217893219,0.64,0.8345
