Model,Dataset,Condition,Metric,Mean,CI95_Low,CI95_High,N,Parse_Errors
Qwen2.5-14B,HotpotQA-500,direct,answer_f1_relaxed,0.733084108048814,0.698100543965838,0.7667914514407161,500,0
Qwen2.5-14B,HotpotQA-500,direct,answer_f1_strict,0.7383041625041626,0.7044734632034632,0.7715711388611388,500,0
Qwen2.5-14B,HotpotQA-500,direct,evidence_f1,0.6759666666666667,0.6501092857142857,0.7005571428571428,500,0
Qwen2.5-14B,HotpotQA-500,retrieve_then_read,answer_f1_relaxed,0.5998357642357642,0.5594857312132312,0.6377854004329004,500,0
Qwen2.5-14B,HotpotQA-500,retrieve_then_read,answer_f1_strict,0.6023359307359307,0.561794310966811,0.640663455988456,500,0
Qwen2.5-14B,HotpotQA-500,retrieve_then_read,evidence_f1,0.4650714285714286,0.4360136904761905,0.4946884523809523,500,0
Qwen2.5-14B,HotpotQA-500,oracle,answer_f1_relaxed,0.7970554520642756,0.7660103525232937,0.8271870823620824,500,0
Qwen2.5-14B,HotpotQA-500,oracle,answer_f1_strict,0.8056365265453501,0.7757305338452397,0.8347387762400997,500,0
Qwen2.5-14B,HotpotQA-500,oracle,evidence_f1,0.8604714285714287,0.8454044047619047,0.8750911904761904,500,0
Qwen2.5-14B,HotpotQA-500,no_evidence,answer_f1_relaxed,0.27707756132756134,0.24029387085137083,0.3143423232323232,500,0
Qwen2.5-14B,HotpotQA-500,no_evidence,answer_f1_strict,0.2750206349206349,0.2380729761904762,0.31197559523809515,500,0
Qwen2.5-14B,HotpotQA-500,no_evidence,evidence_f1,0.0,0.0,0.0,500,0
Qwen3-14B,HotpotQA-500,direct,answer_f1_relaxed,0.7145484404484405,0.678547886002886,0.7500426184926184,500,0
Qwen3-14B,HotpotQA-500,direct,answer_f1_strict,0.7181619824619825,0.6831350838050838,0.7536906632256632,500,0
Qwen3-14B,HotpotQA-500,direct,evidence_f1,0.6990190476190475,0.6760372619047618,0.7210432142857144,500,0
Qwen3-14B,HotpotQA-500,retrieve_then_read,answer_f1_relaxed,0.58215418446288,0.5423028646594952,0.6219068128489866,500,0
Qwen3-14B,HotpotQA-500,retrieve_then_read,answer_f1_strict,0.5818793428793428,0.5426003318903319,0.6211713131313131,500,0
Qwen3-14B,HotpotQA-500,retrieve_then_read,evidence_f1,0.45565714285714287,0.4259423809523809,0.48384357142857143,500,0
Qwen3-14B,HotpotQA-500,oracle,answer_f1_relaxed,0.8156006826506826,0.7857345390720392,0.8432960191197691,500,1
Qwen3-14B,HotpotQA-500,oracle,answer_f1_strict,0.8208642968142968,0.7917003658841159,0.8484420371295371,500,1
Qwen3-14B,HotpotQA-500,oracle,evidence_f1,0.8287428571428571,0.8112044047619047,0.8456013095238094,500,1
Qwen3-14B,HotpotQA-500,no_evidence,answer_f1_relaxed,0.33670738477209067,0.2994954369323487,0.3743881349206349,500,0
Qwen3-14B,HotpotQA-500,no_evidence,answer_f1_strict,0.33324386724386723,0.2959865800865801,0.3710518073593074,500,0
Qwen3-14B,HotpotQA-500,no_evidence,evidence_f1,0.0,0.0,0.0,500,0
Gemma3-12B,HotpotQA-500,direct,answer_f1_relaxed,0.6747305290318482,0.6379206692298145,0.7119034623637157,500,1
Gemma3-12B,HotpotQA-500,direct,answer_f1_strict,0.6749189830693832,0.6385444301179346,0.712394961618376,500,1
Gemma3-12B,HotpotQA-500,direct,evidence_f1,0.5874619047619047,0.5657904761904762,0.6087857142857143,500,1
Gemma3-12B,HotpotQA-500,retrieve_then_read,answer_f1_relaxed,0.575890442052227,0.5366985829902362,0.614823631091131,500,0
Gemma3-12B,HotpotQA-500,retrieve_then_read,answer_f1_strict,0.5714432678432678,0.5325039491064492,0.6105827952602952,500,0
Gemma3-12B,HotpotQA-500,retrieve_then_read,evidence_f1,0.39907619047619053,0.3709330952380953,0.4266290476190476,500,0
Gemma3-12B,HotpotQA-500,oracle,answer_f1_relaxed,0.8051057498057499,0.7759891156066154,0.8340268467643468,500,0
Gemma3-12B,HotpotQA-500,oracle,answer_f1_strict,0.8091075813075813,0.7802618462093461,0.8374668598068598,500,0
Gemma3-12B,HotpotQA-500,oracle,evidence_f1,0.7435238095238095,0.7256176190476189,0.7609811904761905,500,0
Gemma3-12B,HotpotQA-500,no_evidence,answer_f1_relaxed,0.353532064833209,0.3165163305001634,0.39174151538265956,500,0
Gemma3-12B,HotpotQA-500,no_evidence,answer_f1_strict,0.35396507936507937,0.3165790873015873,0.3921718650793651,500,0
Gemma3-12B,HotpotQA-500,no_evidence,evidence_f1,0.0,0.0,0.0,500,0
