component,dataset,model,method,condition_display,n,parse_errors,answer_f1_relaxed_example,evidence_f1_example,no_evidence_f1_example,oracle_f1_example,context_gain_example,oracle_gap_example,valid_groups,S_no_group,S_oracle_group,S_condition_group,context_gain_group,oracle_gap_group,oncu_clipped,diagnostic_reading
core200,Controlled-safe16K-200,Qwen2.5-14B,direct,Full context,200,0,0.5375,0.595833,0.0,0.903333,0.5375,0.365833,134,0.0,0.908789,0.54602,0.54602,0.362769,0.583156,Full-context condition under-recovers oracle advantage.
core200,Controlled-safe16K-200,Qwen2.5-14B,retrieve_then_read,Retrieved evidence,200,0,0.975,0.974833,0.0,0.903333,0.975,-0.071667,134,0.0,0.908789,0.981343,0.981343,-0.072554,0.981343,Compact evidence recovers most oracle advantage.
core200,HotpotQA-ONCU-200,Qwen2.5-14B,direct,Full context,200,0,0.732568,0.688107,0.241123,0.767193,0.491445,0.034625,29,0.21184,0.793108,0.762697,0.550857,0.030411,0.905575,Full context preserves multi-hop evidence better than retrieval.
core200,HotpotQA-ONCU-200,Qwen2.5-14B,retrieve_then_read,Retrieved evidence,200,0,0.589683,0.477655,0.241123,0.767193,0.34856,0.177511,29,0.21184,0.793108,0.593069,0.381229,0.20004,0.638712,Condition improves substantially over no-evidence baseline.
core200,Controlled-safe16K-200,Qwen3-14B,direct,Full context,200,0,0.525833,0.705667,0.0075,0.995,0.518333,0.469167,133,0.007519,1.0,0.535088,0.527569,0.464912,0.535088,Full-context condition under-recovers oracle advantage.
core200,Controlled-safe16K-200,Qwen3-14B,retrieve_then_read,Retrieved evidence,200,0,0.9925,0.9715,0.0075,0.995,0.985,0.0025,133,0.007519,1.0,0.994361,0.986842,0.005639,0.994361,Compact evidence recovers most oracle advantage.
core200,HotpotQA-ONCU-200,Qwen3-14B,direct,Full context,200,0,0.688826,0.680107,0.301479,0.795399,0.387347,0.106573,28,0.23631,0.804218,0.701723,0.465412,0.102496,0.787379,Full context preserves multi-hop evidence better than retrieval.
core200,HotpotQA-ONCU-200,Qwen3-14B,retrieve_then_read,Retrieved evidence,200,0,0.558053,0.469405,0.301479,0.795399,0.256574,0.237346,28,0.23631,0.804218,0.557425,0.321114,0.246794,0.556824,Large oracle gap remains after the condition.
core200,Controlled-safe16K-200,Gemma3-12B,direct,Full context,200,6,0.513958,0.673333,0.0,0.99,0.513958,0.476042,133,0.0,0.996241,0.514724,0.514724,0.481516,0.514724,Full-context condition under-recovers oracle advantage.
core200,Controlled-safe16K-200,Gemma3-12B,retrieve_then_read,Retrieved evidence,200,0,0.845,0.793333,0.0,0.99,0.845,0.145,133,0.0,0.996241,0.842105,0.842105,0.154135,0.842105,Condition improves substantially over no-evidence baseline.
core200,HotpotQA-ONCU-200,Gemma3-12B,direct,Full context,200,0,0.668429,0.575679,0.290937,0.790901,0.377492,0.122472,28,0.215182,0.786902,0.651769,0.436587,0.135133,0.718809,Full context preserves multi-hop evidence better than retrieval.
core200,HotpotQA-ONCU-200,Gemma3-12B,retrieve_then_read,Retrieved evidence,200,0,0.561073,0.406119,0.290937,0.790901,0.270136,0.229828,28,0.215182,0.786902,0.54956,0.334378,0.237342,0.536199,Large oracle gap remains after the condition.
twowiki500,2WikiMultiHopQA-ONCU-500,Gemma3-12B,direct,Full context,500,1,0.537268,0.594362,0.313516,0.782877,0.223751,0.245609,31,0.376757,0.834504,0.547671,0.170914,0.286833,0.369016,Realistic multi-hop utilization remains incomplete.
twowiki500,2WikiMultiHopQA-ONCU-500,Gemma3-12B,retrieve_then_read,Retrieved evidence,500,0,0.395152,0.316438,0.313516,0.782877,0.081635,0.387725,31,0.376757,0.834504,0.464828,0.088071,0.369676,0.214996,Retrieved evidence loses recoverable advantage.
twowiki500,2WikiMultiHopQA-ONCU-500,Qwen2.5-14B,direct,Full context,500,0,0.548962,0.635143,0.185948,0.774318,0.363014,0.225356,36,0.261224,0.815648,0.604801,0.343577,0.210847,0.609604,Realistic multi-hop utilization remains incomplete.
twowiki500,2WikiMultiHopQA-ONCU-500,Qwen2.5-14B,retrieve_then_read,Retrieved evidence,500,1,0.378324,0.328762,0.185948,0.774318,0.192376,0.395994,36,0.261224,0.815648,0.463797,0.202573,0.351852,0.381453,Retrieved evidence loses recoverable advantage.
twowiki500,2WikiMultiHopQA-ONCU-500,Qwen3-14B,direct,Full context,500,0,0.560226,0.662981,0.27351,0.734702,0.286716,0.174476,34,0.358744,0.785235,0.596527,0.237783,0.188707,0.53378,Realistic multi-hop utilization remains incomplete.
twowiki500,2WikiMultiHopQA-ONCU-500,Qwen3-14B,retrieve_then_read,Retrieved evidence,500,0,0.399886,0.352305,0.27351,0.734702,0.126376,0.334816,34,0.358744,0.785235,0.497826,0.139082,0.287408,0.367068,Retrieved evidence loses recoverable advantage.
