source,model_name,method,reasoning_type,context_length,evidence_position,evidence_density,distractor_similarity,n,exact_match_strict,answer_f1_strict,exact_match_relaxed,answer_f1_relaxed,exact_match,answer_f1,evidence_precision,evidence_recall,evidence_f1,citation_grounding
hotpotqa,mistral-small3.1:24b,direct,comparison,16000,front,low,unknown,2,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,1.0,0.75,0.8333333333333333,1.0
hotpotqa,mistral-small3.1:24b,direct,comparison,16000,middle,low,unknown,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0
hotpotqa,mistral-small3.1:24b,direct,comparison,16000,middle,medium,unknown,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.4,1.0
hotpotqa,mistral-small3.1:24b,direct,comparison,16000,scattered,medium,unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,1.0
hotpotqa,mistral-small3.1:24b,direct,comparison,4000,end,low,unknown,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0
hotpotqa,mistral-small3.1:24b,direct,comparison,4000,end,medium,unknown,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.65,1.0
hotpotqa,mistral-small3.1:24b,direct,comparison,4000,front,low,unknown,3,0.3333333333333333,0.6,0.3333333333333333,0.6,0.3333333333333333,0.6,1.0,1.0,1.0,1.0
hotpotqa,mistral-small3.1:24b,direct,comparison,4000,middle,low,unknown,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hotpotqa,mistral-small3.1:24b,direct,comparison,4000,middle,medium,unknown,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.8,1.0
hotpotqa,mistral-small3.1:24b,direct,comparison,4000,scattered,low,unknown,2,0.5,0.6666666666666667,0.5,0.6666666666666667,0.5,0.6666666666666667,1.0,0.5,0.6666666666666666,1.0
hotpotqa,mistral-small3.1:24b,direct,comparison,8000,end,low,unknown,3,0.3333333333333333,0.8222222222222222,0.3333333333333333,0.85,0.3333333333333333,0.8222222222222222,1.0,1.0,1.0,1.0
hotpotqa,mistral-small3.1:24b,direct,comparison,8000,middle,low,unknown,2,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0
hotpotqa,mistral-small3.1:24b,direct,comparison,8000,scattered,low,unknown,2,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.6666666666666666,1.0
hotpotqa,mistral-small3.1:24b,direct,comparison,8000,scattered,medium,unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,1.0
hotpotqa,mistral-small3.1:24b,direct,multi_hop,16000,end,low,unknown,9,0.6666666666666666,0.8574074074074074,0.5555555555555556,0.7555555555555555,0.6666666666666666,0.8574074074074074,1.0,0.6666666666666666,0.7777777777777778,1.0
hotpotqa,mistral-small3.1:24b,direct,multi_hop,16000,end,medium,unknown,8,0.375,0.7746108058608059,0.375,0.7746108058608059,0.375,0.7746108058608059,1.0,0.625,0.7321428571428572,1.0
hotpotqa,mistral-small3.1:24b,direct,multi_hop,16000,front,low,unknown,9,0.5555555555555556,0.7185185185185186,0.5555555555555556,0.774074074074074,0.5555555555555556,0.7185185185185186,0.9444444444444444,0.5,0.6481481481481481,1.0
hotpotqa,mistral-small3.1:24b,direct,multi_hop,16000,front,medium,unknown,5,0.2,0.5047619047619047,0.2,0.5047619047619047,0.2,0.5047619047619047,0.8,0.3833333333333333,0.5066666666666667,0.8
hotpotqa,mistral-small3.1:24b,direct,multi_hop,16000,middle,low,unknown,6,0.3333333333333333,0.7568627450980392,0.3333333333333333,0.7568627450980392,0.3333333333333333,0.7568627450980392,1.0,0.5833333333333334,0.7222222222222222,1.0
hotpotqa,mistral-small3.1:24b,direct,multi_hop,16000,middle,medium,unknown,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.6407407407407407,0.7462962962962963,1.0
hotpotqa,mistral-small3.1:24b,direct,multi_hop,16000,scattered,low,unknown,12,0.5833333333333334,0.7242063492063492,0.5833333333333334,0.7242063492063492,0.5833333333333334,0.7242063492063492,0.9166666666666666,0.5416666666666666,0.6666666666666666,0.9166666666666666
hotpotqa,mistral-small3.1:24b,direct,multi_hop,16000,scattered,medium,unknown,3,0.6666666666666666,0.8888888888888888,0.6666666666666666,0.8888888888888888,0.6666666666666666,0.8888888888888888,1.0,0.3888888888888889,0.5333333333333333,1.0
hotpotqa,mistral-small3.1:24b,direct,multi_hop,4000,end,low,unknown,10,0.6,0.7166666666666667,0.6,0.7166666666666667,0.6,0.7166666666666667,1.0,0.75,0.8333333333333333,1.0
hotpotqa,mistral-small3.1:24b,direct,multi_hop,4000,end,medium,unknown,4,0.5,0.8428571428571429,0.5,0.8095238095238095,0.5,0.8428571428571429,1.0,0.5,0.65,1.0
hotpotqa,mistral-small3.1:24b,direct,multi_hop,4000,front,low,unknown,7,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9285714285714286,0.7142857142857143,0.7857142857142857,1.0
hotpotqa,mistral-small3.1:24b,direct,multi_hop,4000,front,medium,unknown,7,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9523809523809523,0.46904761904761905,0.6047619047619047,1.0
hotpotqa,mistral-small3.1:24b,direct,multi_hop,4000,middle,low,unknown,8,0.75,0.8333333333333334,0.75,0.8333333333333334,0.75,0.8333333333333334,1.0,0.75,0.8333333333333333,1.0
hotpotqa,mistral-small3.1:24b,direct,multi_hop,4000,middle,medium,unknown,4,0.75,0.8166666666666667,0.75,0.8166666666666667,0.75,0.8166666666666667,1.0,0.6041666666666666,0.7166666666666667,1.0
hotpotqa,mistral-small3.1:24b,direct,multi_hop,4000,scattered,low,unknown,10,0.4,0.68,0.4,0.68,0.4,0.68,1.0,0.65,0.7666666666666666,1.0
hotpotqa,mistral-small3.1:24b,direct,multi_hop,4000,scattered,medium,unknown,5,0.4,0.6476190476190476,0.4,0.6476190476190476,0.4,0.6476190476190476,0.9,0.45,0.5933333333333333,1.0
hotpotqa,mistral-small3.1:24b,direct,multi_hop,8000,end,low,unknown,12,0.5833333333333334,0.6726190476190477,0.5833333333333334,0.6726190476190477,0.5833333333333334,0.6726190476190477,1.0,0.75,0.8333333333333333,1.0
hotpotqa,mistral-small3.1:24b,direct,multi_hop,8000,end,medium,unknown,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hotpotqa,mistral-small3.1:24b,direct,multi_hop,8000,front,low,unknown,7,0.5714285714285714,0.6857142857142857,0.5714285714285714,0.6857142857142857,0.5714285714285714,0.6857142857142857,1.0,0.5714285714285714,0.7142857142857143,1.0
hotpotqa,mistral-small3.1:24b,direct,multi_hop,8000,front,medium,unknown,10,0.6,0.68,0.6,0.68,0.6,0.68,0.95,0.38666666666666666,0.5352380952380953,1.0
hotpotqa,mistral-small3.1:24b,direct,multi_hop,8000,middle,low,unknown,10,0.8,0.8571428571428572,0.6,0.6666666666666666,0.8,0.8571428571428572,0.9,0.6,0.7,0.9
hotpotqa,mistral-small3.1:24b,direct,multi_hop,8000,middle,medium,unknown,5,0.6,0.7333333333333333,0.6,0.7333333333333333,0.6,0.7333333333333333,1.0,0.6166666666666667,0.758095238095238,1.0
hotpotqa,mistral-small3.1:24b,direct,multi_hop,8000,scattered,low,unknown,9,0.4444444444444444,0.7661375661375661,0.4444444444444444,0.7468253968253968,0.4444444444444444,0.7661375661375661,1.0,0.5,0.6666666666666666,1.0
hotpotqa,mistral-small3.1:24b,direct,multi_hop,8000,scattered,medium,unknown,5,0.8,0.8,0.6,0.6,0.8,0.8,1.0,0.45,0.58,1.0
hotpotqa,mistral-small3.1:24b,no_evidence,comparison,16000,front,low,unknown,2,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
hotpotqa,mistral-small3.1:24b,no_evidence,comparison,16000,middle,low,unknown,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
hotpotqa,mistral-small3.1:24b,no_evidence,comparison,16000,middle,medium,unknown,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
hotpotqa,mistral-small3.1:24b,no_evidence,comparison,16000,scattered,medium,unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hotpotqa,mistral-small3.1:24b,no_evidence,comparison,4000,end,low,unknown,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
hotpotqa,mistral-small3.1:24b,no_evidence,comparison,4000,end,medium,unknown,2,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
hotpotqa,mistral-small3.1:24b,no_evidence,comparison,4000,front,low,unknown,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
