source,model_name,reasoning_type,context_length,evidence_position,evidence_density,distractor_similarity,long_method,score_field,score_no_evidence,score_oracle,score_long,n,cue_valid,cue_invalid_reason,cue_raw,cue_clipped
2wikimultihopqa,llama3.1:8b,multi_hop,4000,front,low,unknown,direct,exact_match,0.0,0.5909090909090909,0.3181818181818182,22,True,,0.5384615384615384,0.5384615384615384
2wikimultihopqa,llama3.1:8b,multi_hop,4000,front,low,unknown,retrieve_then_read,exact_match,0.0,0.5909090909090909,0.18181818181818182,22,True,,0.3076923076923077,0.3076923076923077
2wikimultihopqa,llama3.1:8b,comparison,8000,middle,low,unknown,direct,exact_match,0.3333333333333333,0.8333333333333334,0.3333333333333333,6,True,,0.0,0.0
2wikimultihopqa,llama3.1:8b,comparison,8000,middle,low,unknown,retrieve_then_read,exact_match,0.3333333333333333,0.8333333333333334,0.5,6,True,,0.33333333333333337,0.33333333333333337
2wikimultihopqa,llama3.1:8b,multi_hop,16000,end,low,unknown,direct,exact_match,0.041666666666666664,0.5833333333333334,0.2916666666666667,24,True,,0.46153846153846145,0.46153846153846145
2wikimultihopqa,llama3.1:8b,multi_hop,16000,end,low,unknown,retrieve_then_read,exact_match,0.041666666666666664,0.5833333333333334,0.08333333333333333,24,True,,0.07692307692307691,0.07692307692307691
2wikimultihopqa,llama3.1:8b,multi_hop,4000,scattered,low,unknown,direct,exact_match,0.0,0.6521739130434783,0.4782608695652174,23,True,,0.7333333333333334,0.7333333333333334
2wikimultihopqa,llama3.1:8b,multi_hop,4000,scattered,low,unknown,retrieve_then_read,exact_match,0.0,0.6521739130434783,0.13043478260869565,23,True,,0.19999999999999998,0.19999999999999998
2wikimultihopqa,llama3.1:8b,multi_hop,8000,front,low,unknown,direct,exact_match,0.043478260869565216,0.6086956521739131,0.34782608695652173,23,True,,0.5384615384615384,0.5384615384615384
2wikimultihopqa,llama3.1:8b,multi_hop,8000,front,low,unknown,retrieve_then_read,exact_match,0.043478260869565216,0.6086956521739131,0.21739130434782608,23,True,,0.30769230769230765,0.30769230769230765
2wikimultihopqa,llama3.1:8b,multi_hop,16000,middle,low,unknown,direct,exact_match,0.15384615384615385,0.5,0.34615384615384615,26,True,,0.5555555555555555,0.5555555555555555
2wikimultihopqa,llama3.1:8b,multi_hop,16000,middle,low,unknown,retrieve_then_read,exact_match,0.15384615384615385,0.5,0.19230769230769232,26,True,,0.11111111111111112,0.11111111111111112
2wikimultihopqa,llama3.1:8b,multi_hop,4000,end,low,unknown,direct,exact_match,0.0,0.5454545454545454,0.22727272727272727,22,True,,0.4166666666666667,0.4166666666666667
2wikimultihopqa,llama3.1:8b,multi_hop,4000,end,low,unknown,retrieve_then_read,exact_match,0.0,0.5454545454545454,0.09090909090909091,22,True,,0.16666666666666669,0.16666666666666669
2wikimultihopqa,llama3.1:8b,comparison,8000,scattered,low,unknown,direct,exact_match,0.7777777777777778,0.7777777777777778,0.4444444444444444,9,False,oracle_not_above_no_evidence,,
2wikimultihopqa,llama3.1:8b,comparison,8000,scattered,low,unknown,retrieve_then_read,exact_match,0.7777777777777778,0.7777777777777778,0.4444444444444444,9,False,oracle_not_above_no_evidence,,
2wikimultihopqa,llama3.1:8b,comparison,16000,front,medium,unknown,direct,exact_match,0.25,0.625,0.25,8,True,,0.0,0.0
2wikimultihopqa,llama3.1:8b,comparison,16000,front,medium,unknown,retrieve_then_read,exact_match,0.25,0.625,0.375,8,True,,0.3333333333333333,0.3333333333333333
2wikimultihopqa,llama3.1:8b,multi_hop,4000,middle,low,unknown,direct,exact_match,0.08333333333333333,0.5416666666666666,0.20833333333333334,24,True,,0.27272727272727276,0.27272727272727276
2wikimultihopqa,llama3.1:8b,multi_hop,4000,middle,low,unknown,retrieve_then_read,exact_match,0.08333333333333333,0.5416666666666666,0.08333333333333333,24,True,,0.0,0.0
2wikimultihopqa,llama3.1:8b,comparison,8000,end,medium,unknown,direct,exact_match,0.75,0.8333333333333334,0.75,12,True,,0.0,0.0
2wikimultihopqa,llama3.1:8b,comparison,8000,end,medium,unknown,retrieve_then_read,exact_match,0.75,0.8333333333333334,0.75,12,True,,0.0,0.0
2wikimultihopqa,llama3.1:8b,comparison,16000,scattered,medium,unknown,direct,exact_match,0.5,0.7142857142857143,0.42857142857142855,14,True,,-0.3333333333333334,0.0
2wikimultihopqa,llama3.1:8b,comparison,16000,scattered,medium,unknown,retrieve_then_read,exact_match,0.5,0.7142857142857143,0.5,14,True,,0.0,0.0
2wikimultihopqa,llama3.1:8b,comparison,4000,front,medium,unknown,direct,exact_match,0.2727272727272727,0.5454545454545454,0.36363636363636365,11,True,,0.3333333333333335,0.3333333333333335
2wikimultihopqa,llama3.1:8b,comparison,4000,front,medium,unknown,retrieve_then_read,exact_match,0.2727272727272727,0.5454545454545454,0.2727272727272727,11,True,,0.0,0.0
2wikimultihopqa,llama3.1:8b,multi_hop,8000,middle,low,unknown,direct,exact_match,0.037037037037037035,0.48148148148148145,0.2962962962962963,27,True,,0.5833333333333334,0.5833333333333334
2wikimultihopqa,llama3.1:8b,multi_hop,8000,middle,low,unknown,retrieve_then_read,exact_match,0.037037037037037035,0.48148148148148145,0.1111111111111111,27,True,,0.16666666666666666,0.16666666666666666
2wikimultihopqa,llama3.1:8b,comparison,8000,front,low,unknown,direct,exact_match,0.7,1.0,0.5,10,True,,-0.6666666666666664,0.0
2wikimultihopqa,llama3.1:8b,comparison,8000,front,low,unknown,retrieve_then_read,exact_match,0.7,1.0,0.3,10,True,,-1.333333333333333,0.0
2wikimultihopqa,llama3.1:8b,comparison,16000,middle,medium,unknown,direct,exact_match,0.375,0.75,0.625,8,True,,0.6666666666666666,0.6666666666666666
2wikimultihopqa,llama3.1:8b,comparison,16000,middle,medium,unknown,retrieve_then_read,exact_match,0.375,0.75,0.5,8,True,,0.3333333333333333,0.3333333333333333
2wikimultihopqa,llama3.1:8b,comparison,8000,scattered,medium,unknown,direct,exact_match,0.6153846153846154,0.5384615384615384,0.5384615384615384,13,False,oracle_not_above_no_evidence,,
2wikimultihopqa,llama3.1:8b,comparison,8000,scattered,medium,unknown,retrieve_then_read,exact_match,0.6153846153846154,0.5384615384615384,0.6153846153846154,13,False,oracle_not_above_no_evidence,,
2wikimultihopqa,llama3.1:8b,comparison,16000,front,low,unknown,direct,exact_match,0.5,1.0,0.6666666666666666,6,True,,0.33333333333333326,0.33333333333333326
2wikimultihopqa,llama3.1:8b,comparison,16000,front,low,unknown,retrieve_then_read,exact_match,0.5,1.0,0.3333333333333333,6,True,,-0.33333333333333337,0.0
2wikimultihopqa,llama3.1:8b,comparison,16000,end,medium,unknown,direct,exact_match,0.6,0.6,1.0,5,False,oracle_not_above_no_evidence,,
2wikimultihopqa,llama3.1:8b,comparison,16000,end,medium,unknown,retrieve_then_read,exact_match,0.6,0.6,0.8,5,False,oracle_not_above_no_evidence,,
2wikimultihopqa,llama3.1:8b,comparison,16000,middle,low,unknown,direct,exact_match,0.25,0.625,0.375,8,True,,0.3333333333333333,0.3333333333333333
2wikimultihopqa,llama3.1:8b,comparison,16000,middle,low,unknown,retrieve_then_read,exact_match,0.25,0.625,0.375,8,True,,0.3333333333333333,0.3333333333333333
2wikimultihopqa,llama3.1:8b,comparison,4000,end,low,unknown,direct,exact_match,0.5833333333333334,0.9166666666666666,0.5,12,True,,-0.25000000000000017,0.0
2wikimultihopqa,llama3.1:8b,comparison,4000,end,low,unknown,retrieve_then_read,exact_match,0.5833333333333334,0.9166666666666666,0.5833333333333334,12,True,,0.0,0.0
2wikimultihopqa,llama3.1:8b,multi_hop,8000,end,low,unknown,direct,exact_match,0.19047619047619047,0.47619047619047616,0.23809523809523808,21,True,,0.16666666666666666,0.16666666666666666
2wikimultihopqa,llama3.1:8b,multi_hop,8000,end,low,unknown,retrieve_then_read,exact_match,0.19047619047619047,0.47619047619047616,0.047619047619047616,21,True,,-0.5,0.0
2wikimultihopqa,llama3.1:8b,multi_hop,16000,scattered,low,unknown,direct,exact_match,0.05263157894736842,0.631578947368421,0.2631578947368421,19,True,,0.3636363636363636,0.3636363636363636
2wikimultihopqa,llama3.1:8b,multi_hop,16000,scattered,low,unknown,retrieve_then_read,exact_match,0.05263157894736842,0.631578947368421,0.05263157894736842,19,True,,0.0,0.0
2wikimultihopqa,llama3.1:8b,comparison,16000,end,low,unknown,direct,exact_match,0.38461538461538464,0.6923076923076923,0.46153846153846156,13,True,,0.25000000000000006,0.25000000000000006
2wikimultihopqa,llama3.1:8b,comparison,16000,end,low,unknown,retrieve_then_read,exact_match,0.38461538461538464,0.6923076923076923,0.38461538461538464,13,True,,0.0,0.0
2wikimultihopqa,llama3.1:8b,comparison,4000,scattered,low,unknown,direct,exact_match,0.3333333333333333,0.5,0.3333333333333333,6,True,,0.0,0.0
2wikimultihopqa,llama3.1:8b,comparison,4000,scattered,low,unknown,retrieve_then_read,exact_match,0.3333333333333333,0.5,0.5,6,True,,1.0,1.0
2wikimultihopqa,llama3.1:8b,comparison,4000,end,medium,unknown,direct,exact_match,0.625,0.75,0.75,8,True,,1.0,1.0
2wikimultihopqa,llama3.1:8b,comparison,4000,end,medium,unknown,retrieve_then_read,exact_match,0.625,0.75,0.75,8,True,,1.0,1.0
2wikimultihopqa,llama3.1:8b,multi_hop,8000,scattered,low,unknown,direct,exact_match,0.0,0.5,0.05,20,True,,0.1,0.1
2wikimultihopqa,llama3.1:8b,multi_hop,8000,scattered,low,unknown,retrieve_then_read,exact_match,0.0,0.5,0.05,20,True,,0.1,0.1
