source,model_name,method,reasoning_type,context_length,evidence_position,evidence_density,distractor_similarity,n,exact_match_strict,answer_f1_strict,exact_match_relaxed,answer_f1_relaxed,exact_match,answer_f1,evidence_precision,evidence_recall,evidence_f1,citation_grounding
2wikimultihopqa,mistral-small3.1:24b,direct,comparison,16000,end,low,unknown,13,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,1.0,0.8076923076923077,0.8717948717948718,1.0
2wikimultihopqa,mistral-small3.1:24b,direct,comparison,16000,end,medium,unknown,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.7047619047619047,1.0
2wikimultihopqa,mistral-small3.1:24b,direct,comparison,16000,front,low,unknown,6,0.6666666666666666,0.8,0.6666666666666666,0.8,0.6666666666666666,0.8,1.0,0.8333333333333334,0.8888888888888888,1.0
2wikimultihopqa,mistral-small3.1:24b,direct,comparison,16000,front,medium,unknown,8,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.46875,0.6333333333333333,1.0
2wikimultihopqa,mistral-small3.1:24b,direct,comparison,16000,middle,low,unknown,8,0.25,0.25,0.25,0.25,0.25,0.25,1.0,0.9375,0.9583333333333334,1.0
2wikimultihopqa,mistral-small3.1:24b,direct,comparison,16000,middle,medium,unknown,8,0.625,0.625,0.625,0.625,0.625,0.625,0.9583333333333334,0.5,0.6452380952380952,1.0
2wikimultihopqa,mistral-small3.1:24b,direct,comparison,16000,scattered,low,unknown,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6875,0.7916666666666666,1.0
2wikimultihopqa,mistral-small3.1:24b,direct,comparison,16000,scattered,medium,unknown,14,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.9642857142857143,0.48214285714285715,0.6428571428571428,1.0
2wikimultihopqa,mistral-small3.1:24b,direct,comparison,4000,end,low,unknown,12,0.5,0.5666666666666667,0.5,0.5666666666666667,0.5,0.5666666666666667,1.0,0.875,0.9166666666666666,1.0
2wikimultihopqa,mistral-small3.1:24b,direct,comparison,4000,end,medium,unknown,8,0.875,0.875,0.875,0.875,0.875,0.875,1.0,0.59375,0.738095238095238,1.0
2wikimultihopqa,mistral-small3.1:24b,direct,comparison,4000,front,low,unknown,9,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.8888888888888888,0.7222222222222222,0.7777777777777778,0.8888888888888888
2wikimultihopqa,mistral-small3.1:24b,direct,comparison,4000,front,medium,unknown,11,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.9696969696969697,0.5454545454545454,0.6926406926406926,1.0
2wikimultihopqa,mistral-small3.1:24b,direct,comparison,4000,middle,low,unknown,8,0.875,0.9861111111111112,0.875,0.9861111111111112,0.875,0.9861111111111112,1.0,0.9375,0.9583333333333334,1.0
2wikimultihopqa,mistral-small3.1:24b,direct,comparison,4000,middle,medium,unknown,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5,0.6582010582010581,1.0
