source,model_name,reasoning_type,context_length,evidence_position,evidence_density,distractor_similarity,long_method,score_field,score_no_evidence,score_oracle,score_long,n,cue_valid,cue_invalid_reason,cue_raw,cue_clipped
2wikimultihopqa,mistral-small3.1:24b,multi_hop,4000,front,low,unknown,direct,exact_match,0.09090909090909091,0.7272727272727273,0.5454545454545454,22,True,,0.7142857142857142,0.7142857142857142
2wikimultihopqa,mistral-small3.1:24b,multi_hop,4000,front,low,unknown,retrieve_then_read,exact_match,0.09090909090909091,0.7272727272727273,0.2727272727272727,22,True,,0.2857142857142857,0.2857142857142857
2wikimultihopqa,mistral-small3.1:24b,comparison,8000,middle,low,unknown,direct,exact_match,0.16666666666666666,1.0,0.5,6,True,,0.4,0.4
2wikimultihopqa,mistral-small3.1:24b,comparison,8000,middle,low,unknown,retrieve_then_read,exact_match,0.16666666666666666,1.0,0.3333333333333333,6,True,,0.19999999999999998,0.19999999999999998
2wikimultihopqa,mistral-small3.1:24b,multi_hop,16000,end,low,unknown,direct,exact_match,0.041666666666666664,0.625,0.5,24,True,,0.7857142857142856,0.7857142857142856
2wikimultihopqa,mistral-small3.1:24b,multi_hop,16000,end,low,unknown,retrieve_then_read,exact_match,0.041666666666666664,0.625,0.125,24,True,,0.14285714285714288,0.14285714285714288
2wikimultihopqa,mistral-small3.1:24b,multi_hop,4000,scattered,low,unknown,direct,exact_match,0.043478260869565216,0.6521739130434783,0.5217391304347826,23,True,,0.7857142857142857,0.7857142857142857
2wikimultihopqa,mistral-small3.1:24b,multi_hop,4000,scattered,low,unknown,retrieve_then_read,exact_match,0.043478260869565216,0.6521739130434783,0.17391304347826086,23,True,,0.21428571428571427,0.21428571428571427
2wikimultihopqa,mistral-small3.1:24b,multi_hop,8000,front,low,unknown,direct,exact_match,0.0,0.6956521739130435,0.43478260869565216,23,True,,0.625,0.625
2wikimultihopqa,mistral-small3.1:24b,multi_hop,8000,front,low,unknown,retrieve_then_read,exact_match,0.0,0.6956521739130435,0.17391304347826086,23,True,,0.25,0.25
2wikimultihopqa,mistral-small3.1:24b,multi_hop,16000,middle,low,unknown,direct,exact_match,0.11538461538461539,0.5,0.38461538461538464,26,True,,0.7000000000000002,0.7000000000000002
2wikimultihopqa,mistral-small3.1:24b,multi_hop,16000,middle,low,unknown,retrieve_then_read,exact_match,0.11538461538461539,0.5,0.19230769230769232,26,True,,0.20000000000000004,0.20000000000000004
2wikimultihopqa,mistral-small3.1:24b,multi_hop,4000,end,low,unknown,direct,exact_match,0.045454545454545456,0.6363636363636364,0.36363636363636365,22,True,,0.5384615384615384,0.5384615384615384
2wikimultihopqa,mistral-small3.1:24b,multi_hop,4000,end,low,unknown,retrieve_then_read,exact_match,0.045454545454545456,0.6363636363636364,0.09090909090909091,22,True,,0.07692307692307693,0.07692307692307693
