dataset_name,model_name,retriever,top_k,n,answer_f1_relaxed,exact_match_relaxed,evidence_f1,evidence_recall,parse_errors
hotpotqa,gemma3:12b,dense,3,200,0.481905636030636,0.38,0.3290238095238095,0.25025,0
hotpotqa,gemma3:12b,dense,8,200,0.5288084138084138,0.425,0.41345238095238096,0.3134166666666667,0
hotpotqa,gemma3:12b,dense,16,200,0.604872557997558,0.465,0.5025595238095238,0.38158333333333333,0
hotpotqa,gemma3:12b,hybrid,3,200,0.5202943722943723,0.4,0.3580238095238095,0.26958333333333334,0
hotpotqa,gemma3:12b,hybrid,8,200,0.5584169719169719,0.435,0.4769404761904762,0.36616666666666664,0
hotpotqa,gemma3:12b,hybrid,16,200,0.6044244056596998,0.48,0.5568809523809524,0.42475,0
hotpotqa,gemma3:12b,lexical,3,200,0.552263431013431,0.43,0.40764285714285714,0.30791666666666667,0
hotpotqa,gemma3:12b,lexical,8,200,0.5980566378066378,0.47,0.45966666666666667,0.34358333333333335,0
hotpotqa,gemma3:12b,lexical,16,200,0.6218206793206793,0.475,0.5050476190476191,0.37933333333333336,0
hotpotqa,qwen2.5:14b,dense,3,200,0.5105821123321124,0.4,0.37648809523809523,0.31116666666666665,0
hotpotqa,qwen2.5:14b,dense,8,200,0.5727026355996945,0.465,0.46360714285714283,0.37875,0
hotpotqa,qwen2.5:14b,dense,16,200,0.6495,0.515,0.539,0.4469166666666667,0
hotpotqa,qwen2.5:14b,hybrid,3,200,0.5250451354201354,0.415,0.4182619047619048,0.33441666666666664,0
hotpotqa,qwen2.5:14b,hybrid,8,200,0.6078916361416361,0.485,0.5189880952380952,0.43066666666666664,0
hotpotqa,qwen2.5:14b,hybrid,16,200,0.6629796918767507,0.535,0.5664166666666667,0.4696666666666667,0
hotpotqa,qwen2.5:14b,lexical,3,200,0.5718253968253968,0.46,0.4756666666666667,0.37816666666666665,1
hotpotqa,qwen2.5:14b,lexical,8,200,0.6081535409035409,0.49,0.5221428571428571,0.42983333333333335,0
hotpotqa,qwen2.5:14b,lexical,16,200,0.6322763984381632,0.495,0.5280952380952381,0.4340833333333333,0
hotpotqa,qwen3:14b,dense,3,200,0.47854671717171715,0.375,0.3673690476190476,0.29475,0
hotpotqa,qwen3:14b,dense,8,200,0.550274531024531,0.435,0.46172619047619046,0.3690833333333333,0
hotpotqa,qwen3:14b,dense,16,200,0.622889652014652,0.5,0.5616071428571429,0.45325,1
hotpotqa,qwen3:14b,hybrid,3,200,0.5111347818847819,0.39,0.4224642857142857,0.3345,0
hotpotqa,qwen3:14b,hybrid,8,200,0.6049111950851082,0.47,0.530952380952381,0.4334166666666667,0
hotpotqa,qwen3:14b,hybrid,16,200,0.6144945284184414,0.485,0.5902857142857143,0.4696666666666667,0
hotpotqa,qwen3:14b,lexical,3,200,0.5586752525252525,0.43,0.4661190476190476,0.3655833333333333,0
hotpotqa,qwen3:14b,lexical,8,200,0.6101483761336702,0.47,0.5267857142857143,0.4221666666666667,1
hotpotqa,qwen3:14b,lexical,16,200,0.6212010767010767,0.485,0.531,0.416,1
2wikimultihopqa,gemma3:12b,dense,3,500,0.4683154179154179,0.408,0.3980666666666666,0.3,0
2wikimultihopqa,gemma3:12b,dense,8,500,0.48477284937284937,0.41,0.45955238095238093,0.3458333333333333,0
2wikimultihopqa,gemma3:12b,dense,16,500,0.49906663336663337,0.422,0.5150571428571429,0.3863333333333333,0
2wikimultihopqa,gemma3:12b,hybrid,3,500,0.40481931401931404,0.34,0.31843809523809524,0.241,0
2wikimultihopqa,gemma3:12b,hybrid,8,500,0.41785178155178154,0.352,0.37935238095238094,0.28683333333333333,0
2wikimultihopqa,gemma3:12b,hybrid,16,500,0.4783930402930403,0.402,0.4548190476190476,0.3413333333333333,1
2wikimultihopqa,gemma3:12b,lexical,3,500,0.3927071928071928,0.328,0.3189714285714286,0.2425,0
2wikimultihopqa,gemma3:12b,lexical,8,500,0.41792407592407593,0.356,0.3528190476190476,0.266,0
2wikimultihopqa,gemma3:12b,lexical,16,500,0.4432819402819403,0.374,0.39527619047619045,0.29483333333333334,0
2wikimultihopqa,qwen2.5:14b,dense,3,500,0.442197668997669,0.386,0.4128190476190476,0.3238333333333333,1
2wikimultihopqa,qwen2.5:14b,dense,8,500,0.4646136863136863,0.404,0.4655238095238095,0.36933333333333335,2
