dataset_name,model_name,retriever,top_k,valid_groups,total_groups,oncu_relaxed_f1
hotpotqa,gemma3:12b,dense,16,0,38,
hotpotqa,gemma3:12b,dense,3,0,38,
hotpotqa,gemma3:12b,dense,8,0,38,
hotpotqa,gemma3:12b,hybrid,16,0,38,
hotpotqa,gemma3:12b,hybrid,3,0,38,
hotpotqa,gemma3:12b,hybrid,8,0,38,
hotpotqa,gemma3:12b,lexical,16,0,38,
hotpotqa,gemma3:12b,lexical,3,0,38,
hotpotqa,gemma3:12b,lexical,8,0,38,
hotpotqa,qwen2.5:14b,dense,16,0,38,
hotpotqa,qwen2.5:14b,dense,3,0,38,
hotpotqa,qwen2.5:14b,dense,8,0,38,
hotpotqa,qwen2.5:14b,hybrid,16,0,38,
hotpotqa,qwen2.5:14b,hybrid,3,0,38,
hotpotqa,qwen2.5:14b,hybrid,8,0,38,
hotpotqa,qwen2.5:14b,lexical,16,0,38,
hotpotqa,qwen2.5:14b,lexical,3,0,38,
hotpotqa,qwen2.5:14b,lexical,8,0,38,
hotpotqa,qwen3:14b,dense,16,0,38,
hotpotqa,qwen3:14b,dense,3,0,38,
hotpotqa,qwen3:14b,dense,8,0,38,
hotpotqa,qwen3:14b,hybrid,16,0,38,
hotpotqa,qwen3:14b,hybrid,3,0,38,
hotpotqa,qwen3:14b,hybrid,8,0,38,
hotpotqa,qwen3:14b,lexical,16,0,38,
hotpotqa,qwen3:14b,lexical,3,0,38,
hotpotqa,qwen3:14b,lexical,8,0,38,
2wikimultihopqa,gemma3:12b,dense,16,0,37,
2wikimultihopqa,gemma3:12b,dense,3,0,37,
2wikimultihopqa,gemma3:12b,dense,8,0,37,
2wikimultihopqa,gemma3:12b,hybrid,16,0,37,
2wikimultihopqa,gemma3:12b,hybrid,3,0,37,
2wikimultihopqa,gemma3:12b,hybrid,8,0,37,
2wikimultihopqa,gemma3:12b,lexical,16,0,37,
2wikimultihopqa,gemma3:12b,lexical,3,0,37,
2wikimultihopqa,gemma3:12b,lexical,8,0,37,
2wikimultihopqa,qwen2.5:14b,dense,16,0,37,
2wikimultihopqa,qwen2.5:14b,dense,3,0,37,
2wikimultihopqa,qwen2.5:14b,dense,8,0,37,
2wikimultihopqa,qwen2.5:14b,hybrid,16,0,37,
2wikimultihopqa,qwen2.5:14b,hybrid,3,0,37,
2wikimultihopqa,qwen2.5:14b,hybrid,8,0,37,
2wikimultihopqa,qwen2.5:14b,lexical,16,0,37,
2wikimultihopqa,qwen2.5:14b,lexical,3,0,37,
2wikimultihopqa,qwen2.5:14b,lexical,8,0,37,
2wikimultihopqa,qwen3:14b,dense,16,0,37,
2wikimultihopqa,qwen3:14b,dense,3,0,37,
2wikimultihopqa,qwen3:14b,dense,8,0,37,
2wikimultihopqa,qwen3:14b,hybrid,16,0,37,
2wikimultihopqa,qwen3:14b,hybrid,3,0,37,
2wikimultihopqa,qwen3:14b,hybrid,8,0,37,
2wikimultihopqa,qwen3:14b,lexical,16,0,37,
2wikimultihopqa,qwen3:14b,lexical,3,0,37,
2wikimultihopqa,qwen3:14b,lexical,8,0,37,
