dataset_name,retriever,top_k,n,retrieval_precision,retrieval_recall,retrieval_f1,oracle_hit_rate,full_chain_coverage,distractor_id_rate,retrieved_passage_count,run_dir
hotpotqa_oncu_200,dense,3,200,0.4651845238095238,0.5018333333333334,0.46059218559218557,0.595,0.405,0.30981547619047617,2.325,outputs/reader_facing_retfam_hotpotqa200_gemma3
hotpotqa_oncu_200,dense,8,200,0.45754058441558443,0.6565833333333333,0.5092375263625264,0.77,0.53,0.46745941558441556,3.825,outputs/reader_facing_retfam_hotpotqa200_gemma3
hotpotqa_oncu_200,dense,16,200,0.38711471861471863,0.832,0.49735508200949374,0.905,0.745,0.5878852813852814,6.035,outputs/reader_facing_retfam_hotpotqa200_gemma3
hotpotqa_oncu_200,hybrid,3,200,0.6105595238095238,0.5651666666666667,0.56552886002886,0.675,0.455,0.09944047619047619,1.765,outputs/reader_facing_retfam_hotpotqa200_gemma3
hotpotqa_oncu_200,hybrid,8,200,0.5595972222222222,0.7211666666666666,0.5918859751359752,0.825,0.615,0.32040277777777776,3.325,outputs/reader_facing_retfam_hotpotqa200_gemma3
hotpotqa_oncu_200,hybrid,16,200,0.4844099927849928,0.87325,0.5737585535379653,0.94,0.805,0.4855900072150072,5.525,outputs/reader_facing_retfam_hotpotqa200_gemma3
hotpotqa_oncu_200,lexical,3,200,0.6902619047619047,0.6328333333333334,0.64,0.74,0.54,0.08473809523809524,1.885,outputs/reader_facing_retfam_hotpotqa200_gemma3
hotpotqa_oncu_200,lexical,8,200,0.6283412698412698,0.7286666666666667,0.6380157065157065,0.83,0.625,0.24165873015873016,2.98,outputs/reader_facing_retfam_hotpotqa200_gemma3
hotpotqa_oncu_200,lexical,16,200,0.486393315018315,0.8186666666666667,0.5566017381311499,0.89,0.75,0.458606684981685,5.09,outputs/reader_facing_retfam_hotpotqa200_gemma3
hotpotqa_oncu_200,oracle,3,200,1.0,0.96325,0.9785714285714285,1.0,0.865,0.0,2.36,outputs/reader_facing_retfam_hotpotqa200_gemma3
