dataset_key,dataset,model_key,model,setting,answer_f1,evidence_f1,valid_groups,total_groups,oncu,parse_errors
hotpotqa200,HotpotQA-200,gemma3,Gemma3-12B,CE@128$\rightarrow$16,0.6316449938949938,0.5176904761904761,121,200,0.7377738423192969,0
hotpotqa200,HotpotQA-200,gemma3,Gemma3-12B,CE@128$\rightarrow$24,0.6650119047619047,0.5490238095238095,121,200,0.7708316935589663,0
hotpotqa200,HotpotQA-200,gemma3,Gemma3-12B,CE@32$\rightarrow$16,0.6246449938949938,0.5307142857142857,121,200,0.7065341728978093,0
hotpotqa200,HotpotQA-200,gemma3,Gemma3-12B,CE@32$\rightarrow$8,0.6190338827838828,0.4839761904761904,121,200,0.7077922077922078,0
hotpotqa200,HotpotQA-200,gemma3,Gemma3-12B,CE@64$\rightarrow$16,0.6364227716727717,0.5225238095238095,121,200,0.7230630985176439,0
hotpotqa200,HotpotQA-200,gemma3,Gemma3-12B,CE@64$\rightarrow$24,0.6603910256410256,0.5535238095238095,121,200,0.7643854125672308,0
hotpotqa200,HotpotQA-200,gemma3,Gemma3-12B,CE@64$\rightarrow$8,0.6248195970695971,0.4701904761904761,121,200,0.7250098386462023,0
hotpotqa200,HotpotQA-200,llama31,Llama3.1-8B,CE@128$\rightarrow$16,0.6118888888888889,0.502,119,200,0.6586629096082878,0
hotpotqa200,HotpotQA-200,llama31,Llama3.1-8B,CE@128$\rightarrow$24,0.657206798103857,0.5378095238095238,119,200,0.7161987343957191,0
hotpotqa200,HotpotQA-200,llama31,Llama3.1-8B,CE@32$\rightarrow$16,0.5999108669108669,0.4901428571428571,119,200,0.6390550664710328,0
hotpotqa200,HotpotQA-200,llama31,Llama3.1-8B,CE@32$\rightarrow$8,0.6176491057961646,0.496047619047619,119,200,0.6811847287934781,1
hotpotqa200,HotpotQA-200,llama31,Llama3.1-8B,CE@64$\rightarrow$16,0.6052341269841269,0.5098095238095238,119,200,0.6570122493441821,0
hotpotqa200,HotpotQA-200,llama31,Llama3.1-8B,CE@64$\rightarrow$24,0.6555401314371903,0.5241428571428571,119,200,0.7116469136674277,0
hotpotqa200,HotpotQA-200,llama31,Llama3.1-8B,CE@64$\rightarrow$8,0.6191892551892552,0.484,119,200,0.6661859188119692,0
hotpotqa200,HotpotQA-200,mistral,Mistral-Small3.1-24B,CE@128$\rightarrow$16,0.7158716332686921,0.63675,116,200,0.7797523942638885,0
hotpotqa200,HotpotQA-200,mistral,Mistral-Small3.1-24B,CE@128$\rightarrow$24,0.7279549666020254,0.6556904761904762,116,200,0.7747236586317046,0
hotpotqa200,HotpotQA-200,mistral,Mistral-Small3.1-24B,CE@32$\rightarrow$16,0.7191629497953027,0.6307142857142857,116,200,0.7681542173175033,0
hotpotqa200,HotpotQA-200,mistral,Mistral-Small3.1-24B,CE@32$\rightarrow$8,0.7096017919988509,0.5912619047619048,116,200,0.7495267663371111,0
hotpotqa200,HotpotQA-200,mistral,Mistral-Small3.1-24B,CE@64$\rightarrow$16,0.7158716332686921,0.617702380952381,116,200,0.771131704608716,0
hotpotqa200,HotpotQA-200,mistral,Mistral-Small3.1-24B,CE@64$\rightarrow$24,0.7354549666020255,0.6491904761904762,116,200,0.7876546931144632,0
hotpotqa200,HotpotQA-200,mistral,Mistral-Small3.1-24B,CE@64$\rightarrow$8,0.7050660777131366,0.5876666666666667,116,200,0.7322853870267664,0
hotpotqa200,HotpotQA-200,qwen25,Qwen2.5-14B,CE@128$\rightarrow$16,0.667532722179781,0.5778333333333333,121,200,0.78156913487492,1
hotpotqa200,HotpotQA-200,qwen25,Qwen2.5-14B,CE@128$\rightarrow$24,0.6706755793226381,0.5875238095238096,121,200,0.756775746445168,1
hotpotqa200,HotpotQA-200,qwen25,Qwen2.5-14B,CE@32$\rightarrow$16,0.6674216110686699,0.5901428571428571,121,200,0.7622853883184462,0
hotpotqa200,HotpotQA-200,qwen25,Qwen2.5-14B,CE@32$\rightarrow$8,0.6186324696545284,0.559595238095238,121,200,0.7355371900826446,1
hotpotqa200,HotpotQA-200,qwen25,Qwen2.5-14B,CE@64$\rightarrow$16,0.6736120872591461,0.574,121,200,0.7733046720650026,0
hotpotqa200,HotpotQA-200,qwen25,Qwen2.5-14B,CE@64$\rightarrow$24,0.6725406586877175,0.5956190476190476,121,200,0.7650402092550853,1
hotpotqa200,HotpotQA-200,qwen25,Qwen2.5-14B,CE@64$\rightarrow$8,0.6333660555131143,0.5671190476190476,121,200,0.7619410357013663,1
hotpotqa200,HotpotQA-200,qwen3,Qwen3-14B,CE@128$\rightarrow$16,0.6320474802974803,0.5568333333333333,124,200,0.7238479262672811,1
hotpotqa200,HotpotQA-200,qwen3,Qwen3-14B,CE@128$\rightarrow$24,0.623032771322245,0.5908690476190476,124,200,0.7064738459050853,0
hotpotqa200,HotpotQA-200,qwen3,Qwen3-14B,CE@32$\rightarrow$16,0.6351169353522295,0.5566904761904762,124,200,0.6988242071021957,0
hotpotqa200,HotpotQA-200,qwen3,Qwen3-14B,CE@32$\rightarrow$8,0.602229797979798,0.5485952380952381,124,200,0.6714285714285714,1
hotpotqa200,HotpotQA-200,qwen3,Qwen3-14B,CE@64$\rightarrow$16,0.6370474802974803,0.5613333333333334,124,200,0.7238479262672811,1
hotpotqa200,HotpotQA-200,qwen3,Qwen3-14B,CE@64$\rightarrow$24,0.628032771322245,0.5939166666666666,124,200,0.7145383620341176,0
hotpotqa200,HotpotQA-200,qwen3,Qwen3-14B,CE@64$\rightarrow$8,0.6107366522366522,0.5503095238095238,124,200,0.6933179723502304,1
twowiki500,2Wiki-500,gemma3,Gemma3-12B,CE@128$\rightarrow$16,0.5307301365301366,0.5036761904761905,286,500,0.5286592195683105,0
twowiki500,2Wiki-500,gemma3,Gemma3-12B,CE@128$\rightarrow$24,0.5332443500943501,0.5374380952380953,286,500,0.5292887667887668,0
twowiki500,2Wiki-500,gemma3,Gemma3-12B,CE@32$\rightarrow$16,0.5211339604839604,0.4901619047619047,286,500,0.516163382072473,0
twowiki500,2Wiki-500,gemma3,Gemma3-12B,CE@32$\rightarrow$8,0.4864221278721278,0.4315047619047619,286,500,0.4724789099789099,1
twowiki500,2Wiki-500,gemma3,Gemma3-12B,CE@64$\rightarrow$16,0.517324580974581,0.5061428571428571,286,500,0.5157512941603851,0
twowiki500,2Wiki-500,gemma3,Gemma3-12B,CE@64$\rightarrow$24,0.5236443500943501,0.5437047619047619,286,500,0.509533522033522,0
twowiki500,2Wiki-500,gemma3,Gemma3-12B,CE@64$\rightarrow$8,0.4874284770784771,0.4425523809523809,286,500,0.4789474414474414,0
twowiki500,2Wiki-500,llama31,Llama3.1-8B,CE@128$\rightarrow$16,0.4469269619269619,0.4752380952380952,277,500,0.4408365255955901,0
twowiki500,2Wiki-500,llama31,Llama3.1-8B,CE@128$\rightarrow$24,0.4571616383616383,0.4841714285714285,277,500,0.4719931382150814,1
twowiki500,2Wiki-500,llama31,Llama3.1-8B,CE@32$\rightarrow$16,0.4457494727494727,0.4682380952380952,277,500,0.4345638973013012,1
