dataset_key,dataset,model_key,model,setting,answer_f1,evidence_f1,valid_groups,total_groups,oncu,parse_errors
hotpotqa200,HotpotQA-200,gemma3,Gemma3-12B,CE@128$\rightarrow$24,0.6650119047619047,0.5490238095238095,121,200,0.7708316935589663,0
hotpotqa200,HotpotQA-200,llama31,Llama3.1-8B,CE@128$\rightarrow$24,0.657206798103857,0.5378095238095238,119,200,0.7161987343957191,0
hotpotqa200,HotpotQA-200,mistral,Mistral-Small3.1-24B,CE@64$\rightarrow$24,0.7354549666020255,0.6491904761904762,116,200,0.7876546931144632,0
hotpotqa200,HotpotQA-200,qwen25,Qwen2.5-14B,CE@128$\rightarrow$16,0.667532722179781,0.5778333333333333,121,200,0.78156913487492,1
hotpotqa200,HotpotQA-200,qwen3,Qwen3-14B,CE@128$\rightarrow$16,0.6320474802974803,0.5568333333333333,124,200,0.7238479262672811,1
twowiki500,2Wiki-500,gemma3,Gemma3-12B,CE@128$\rightarrow$24,0.5332443500943501,0.5374380952380953,286,500,0.5292887667887668,0
twowiki500,2Wiki-500,llama31,Llama3.1-8B,CE@128$\rightarrow$24,0.4571616383616383,0.4841714285714285,277,500,0.4719931382150814,1
twowiki500,2Wiki-500,mistral,Mistral-Small3.1-24B,CE@128$\rightarrow$24,0.5877634698634698,0.5951047619047619,303,500,0.6476923882864477,0
twowiki500,2Wiki-500,qwen25,Qwen2.5-14B,CE@64$\rightarrow$24,0.496876023976024,0.5223047619047619,329,500,0.5561492037175928,2
twowiki500,2Wiki-500,qwen3,Qwen3-14B,CE@128$\rightarrow$24,0.5066484515484515,0.5594285714285714,273,500,0.5666859683526351,0
