sample_id,source,dataset_name,retriever,top_k,chunk_size,overlap,reasoning_type,context_length,evidence_position,evidence_density,distractor_similarity,gold_evidence_ids,retrieved_evidence_ids,retrieved_chunk_indices,retrieved_passage_count,gold_passage_count,oracle_hit_rate,full_chain_coverage,retrieval_precision,retrieval_recall,retrieval_f1,distractor_id_rate
hotpotqa_5adbf0a255429947ff17385a,hotpotqa,hotpotqa_oncu_200,lexical,3,220,40,comparison,4000,front,low,unknown,p0001;p0002,p0001;p0002,0;1;21,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
hotpotqa_5adbf0a255429947ff17385a,hotpotqa,hotpotqa_oncu_200,lexical,5,220,40,comparison,4000,front,low,unknown,p0001;p0002,p0001;p0002,0;1;21;10;4,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
hotpotqa_5adbf0a255429947ff17385a,hotpotqa,hotpotqa_oncu_200,lexical,8,220,40,comparison,4000,front,low,unknown,p0001;p0002,p0001;p0002;p0009;p0010;p0011,0;1;21;10;4;18;12;8,5.0,2.0,1.0,1.0,0.4,1.0,0.5714285714285715,0.6
hotpotqa_5adbf0a255429947ff17385a,hotpotqa,hotpotqa_oncu_200,lexical,16,220,40,comparison,4000,front,low,unknown,p0001;p0002,p0001;p0002;p0009;p0010;p0011;p0007;p0008,0;1;21;10;4;18;12;8;15;13;7;2;16;20;9;17,7.0,2.0,1.0,1.0,0.2857142857142857,1.0,0.4444444444444445,0.7142857142857143
hotpotqa_5adbf0a255429947ff17385a,hotpotqa,hotpotqa_oncu_200,dense,3,220,40,comparison,4000,front,low,unknown,p0001;p0002,p0002;p0007;p0008;p0009,1;7;13,4.0,2.0,1.0,0.0,0.25,0.5,0.3333333333333333,0.75
hotpotqa_5adbf0a255429947ff17385a,hotpotqa,hotpotqa_oncu_200,dense,5,220,40,comparison,4000,front,low,unknown,p0001;p0002,p0002;p0007;p0008;p0009;p0001,1;7;13;0;10,5.0,2.0,1.0,1.0,0.4,1.0,0.5714285714285715,0.6
hotpotqa_5adbf0a255429947ff17385a,hotpotqa,hotpotqa_oncu_200,dense,8,220,40,comparison,4000,front,low,unknown,p0001;p0002,p0002;p0007;p0008;p0009;p0001;p0010;p0011,1;7;13;0;10;12;8;18,7.0,2.0,1.0,1.0,0.2857142857142857,1.0,0.4444444444444445,0.7142857142857143
hotpotqa_5adbf0a255429947ff17385a,hotpotqa,hotpotqa_oncu_200,dense,16,220,40,comparison,4000,front,low,unknown,p0001;p0002,p0002;p0007;p0008;p0009;p0001;p0010;p0011,1;7;13;0;10;12;8;18;2;20;4;21;17;16;15;19,7.0,2.0,1.0,1.0,0.2857142857142857,1.0,0.4444444444444445,0.7142857142857143
hotpotqa_5adbf0a255429947ff17385a,hotpotqa,hotpotqa_oncu_200,hybrid,3,220,40,comparison,4000,front,low,unknown,p0001;p0002,p0002;p0001,1;0;10,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
hotpotqa_5adbf0a255429947ff17385a,hotpotqa,hotpotqa_oncu_200,hybrid,5,220,40,comparison,4000,front,low,unknown,p0001;p0002,p0002;p0001;p0007;p0008;p0009,1;0;10;7;13,5.0,2.0,1.0,1.0,0.4,1.0,0.5714285714285715,0.6
hotpotqa_5adbf0a255429947ff17385a,hotpotqa,hotpotqa_oncu_200,hybrid,8,220,40,comparison,4000,front,low,unknown,p0001;p0002,p0002;p0001;p0007;p0008;p0009,1;0;10;7;13;12;18;21,5.0,2.0,1.0,1.0,0.4,1.0,0.5714285714285715,0.6
hotpotqa_5adbf0a255429947ff17385a,hotpotqa,hotpotqa_oncu_200,hybrid,16,220,40,comparison,4000,front,low,unknown,p0001;p0002,p0002;p0001;p0007;p0008;p0009;p0010;p0011,1;0;10;7;13;12;18;21;8;4;2;15;20;16;17;9,7.0,2.0,1.0,1.0,0.2857142857142857,1.0,0.4444444444444445,0.7142857142857143
hotpotqa_5adbf0a255429947ff17385a,hotpotqa,hotpotqa_oncu_200,iterative,3,220,40,comparison,4000,front,low,unknown,p0001;p0002,p0001;p0002,0;10;1,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
hotpotqa_5adbf0a255429947ff17385a,hotpotqa,hotpotqa_oncu_200,iterative,5,220,40,comparison,4000,front,low,unknown,p0001;p0002,p0001;p0002,0;10;1;12;3,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
hotpotqa_5adbf0a255429947ff17385a,hotpotqa,hotpotqa_oncu_200,iterative,8,220,40,comparison,4000,front,low,unknown,p0001;p0002,p0001;p0002;p0003;p0004;p0006;p0007,0;10;1;12;3;6;17;21,6.0,2.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.6666666666666666
hotpotqa_5adbf0a255429947ff17385a,hotpotqa,hotpotqa_oncu_200,iterative,16,220,40,comparison,4000,front,low,unknown,p0001;p0002,p0001;p0002;p0003;p0004;p0006;p0007;p0008;p0009;p0010;p0011,0;10;1;12;3;6;17;21;11;20;14;7;4;8;16;13,10.0,2.0,1.0,1.0,0.2,1.0,0.33333333333333337,0.8
hotpotqa_5adbf0a255429947ff17385a,hotpotqa,hotpotqa_oncu_200,oracle,3,220,40,comparison,4000,front,low,unknown,p0001;p0002,p0001;p0002,0;1,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
hotpotqa_5adbf0a255429947ff17385a,hotpotqa,hotpotqa_oncu_200,oracle,5,220,40,comparison,4000,front,low,unknown,p0001;p0002,p0001;p0002,0;1,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
