dataset_name,retriever,top_k,n,retrieval_precision,retrieval_recall,retrieval_f1,oracle_hit_rate,full_chain_coverage,distractor_id_rate,retrieved_passage_count
hotpotqa_oncu_200,dense,3,200,0.4651845238095238,0.5018333333333334,0.46059218559218557,0.595,0.405,0.30981547619047617,2.325
hotpotqa_oncu_200,dense,5,200,0.45392261904761905,0.5818333333333333,0.4863468753468754,0.675,0.475,0.39607738095238093,2.975
hotpotqa_oncu_200,dense,8,200,0.45754058441558443,0.6565833333333333,0.5092375263625264,0.77,0.53,0.46745941558441556,3.825
hotpotqa_oncu_200,dense,16,200,0.38711471861471863,0.832,0.49735508200949374,0.905,0.745,0.5878852813852814,6.035
hotpotqa_oncu_200,hybrid,3,200,0.6105595238095238,0.5651666666666667,0.56552886002886,0.675,0.455,0.09944047619047619,1.765
hotpotqa_oncu_200,hybrid,5,200,0.6092380952380952,0.6349166666666667,0.5911800144300144,0.745,0.525,0.19576190476190475,2.37
hotpotqa_oncu_200,hybrid,8,200,0.5595972222222222,0.7211666666666666,0.5918859751359752,0.825,0.615,0.32040277777777776,3.325
hotpotqa_oncu_200,hybrid,16,200,0.4844099927849928,0.87325,0.5737585535379653,0.94,0.805,0.4855900072150072,5.525
hotpotqa_oncu_200,iterative,3,200,0.6312619047619048,0.54825,0.5652261904761905,0.675,0.43,0.08373809523809524,1.67
hotpotqa_oncu_200,iterative,5,200,0.6117777777777778,0.6024166666666667,0.5787857142857142,0.72,0.49,0.1632222222222222,2.17
hotpotqa_oncu_200,iterative,8,200,0.5673988095238095,0.6836666666666666,0.5830973813767931,0.785,0.575,0.2826011904761905,3.06
hotpotqa_oncu_200,iterative,16,200,0.44069075369075367,0.7807499999999999,0.516965478965479,0.86,0.7,0.4993092463092463,5.145
hotpotqa_oncu_200,lexical,3,200,0.6902619047619047,0.6328333333333334,0.64,0.74,0.54,0.08473809523809524,1.885
hotpotqa_oncu_200,lexical,5,200,0.6809265873015873,0.6803333333333333,0.6542271062271062,0.795,0.57,0.1640734126984127,2.355
hotpotqa_oncu_200,lexical,8,200,0.6283412698412698,0.7286666666666667,0.6380157065157065,0.83,0.625,0.24165873015873016,2.98
hotpotqa_oncu_200,lexical,16,200,0.486393315018315,0.8186666666666667,0.5566017381311499,0.89,0.75,0.458606684981685,5.09
hotpotqa_oncu_200,oracle,3,200,1.0,0.96325,0.9785714285714285,1.0,0.865,0.0,2.36
hotpotqa_oncu_200,oracle,5,200,1.0,1.0,1.0,1.0,1.0,0.0,2.515
hotpotqa_oncu_200,oracle,8,200,1.0,1.0,1.0,1.0,1.0,0.0,2.515
hotpotqa_oncu_200,oracle,16,200,1.0,1.0,1.0,1.0,1.0,0.0,2.515
