sample_id,source,dataset_name,retriever,top_k,chunk_size,overlap,reasoning_type,context_length,evidence_position,evidence_density,distractor_similarity,gold_evidence_ids,retrieved_evidence_ids,retrieved_chunk_indices,retrieved_passage_count,gold_passage_count,oracle_hit_rate,full_chain_coverage,retrieval_precision,retrieval_recall,retrieval_f1,distractor_id_rate
2wikimultihopqa_8813f87c0bdd11eba7f7acde48001122,2wikimultihopqa,twowiki_oncu_500,lexical,3,220,40,multi_hop,4000,front,low,unknown,p0001;p0002,p0001;p0002,0;19;3,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
2wikimultihopqa_8813f87c0bdd11eba7f7acde48001122,2wikimultihopqa,twowiki_oncu_500,lexical,5,220,40,multi_hop,4000,front,low,unknown,p0001;p0002,p0001;p0002,0;19;3;11;16,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
2wikimultihopqa_8813f87c0bdd11eba7f7acde48001122,2wikimultihopqa,twowiki_oncu_500,lexical,8,220,40,multi_hop,4000,front,low,unknown,p0001;p0002,p0001;p0002,0;19;3;11;16;21;13;5,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
2wikimultihopqa_8813f87c0bdd11eba7f7acde48001122,2wikimultihopqa,twowiki_oncu_500,lexical,16,220,40,multi_hop,4000,front,low,unknown,p0001;p0002,p0001;p0002;p0003;p0004;p0005;p0006;p0007;p0008,0;19;3;11;16;21;13;5;18;9;6;14;7;4;12;1,8.0,2.0,1.0,1.0,0.25,1.0,0.4,0.75
2wikimultihopqa_8813f87c0bdd11eba7f7acde48001122,2wikimultihopqa,twowiki_oncu_500,dense,3,220,40,multi_hop,4000,front,low,unknown,p0001;p0002,p0001;p0002;p0003;p0004;p0005;p0006,0;21;6,6.0,2.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.6666666666666666
2wikimultihopqa_8813f87c0bdd11eba7f7acde48001122,2wikimultihopqa,twowiki_oncu_500,dense,5,220,40,multi_hop,4000,front,low,unknown,p0001;p0002,p0001;p0002;p0003;p0004;p0005;p0006,0;21;6;13;5,6.0,2.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.6666666666666666
2wikimultihopqa_8813f87c0bdd11eba7f7acde48001122,2wikimultihopqa,twowiki_oncu_500,dense,8,220,40,multi_hop,4000,front,low,unknown,p0001;p0002,p0001;p0002;p0003;p0004;p0005;p0006,0;21;6;13;5;11;16;3,6.0,2.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.6666666666666666
2wikimultihopqa_8813f87c0bdd11eba7f7acde48001122,2wikimultihopqa,twowiki_oncu_500,dense,16,220,40,multi_hop,4000,front,low,unknown,p0001;p0002,p0001;p0002;p0003;p0004;p0005;p0006;p0009;p0010,0;21;6;13;5;11;16;3;2;18;10;19;8;15;1;20,8.0,2.0,1.0,1.0,0.25,1.0,0.4,0.75
2wikimultihopqa_8813f87c0bdd11eba7f7acde48001122,2wikimultihopqa,twowiki_oncu_500,hybrid,3,220,40,multi_hop,4000,front,low,unknown,p0001;p0002,p0001;p0002,0;21;11,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
2wikimultihopqa_8813f87c0bdd11eba7f7acde48001122,2wikimultihopqa,twowiki_oncu_500,hybrid,5,220,40,multi_hop,4000,front,low,unknown,p0001;p0002,p0001;p0002,0;21;11;3;13,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
