dataset_name,retriever,top_k,n,retrieval_precision,retrieval_recall,retrieval_f1,oracle_hit_rate,full_chain_coverage,distractor_id_rate,retrieved_passage_count
twowiki_oncu_500,dense,3,500,0.5635777777777777,0.6023333333333334,0.5448810522810523,0.702,0.472,0.22442222222222222,2.82
twowiki_oncu_500,dense,5,500,0.5400603174603175,0.656,0.5487251637251638,0.754,0.526,0.30193968253968256,3.466
twowiki_oncu_500,dense,8,500,0.5353126984126985,0.7215,0.5637247863247863,0.816,0.596,0.37268730158730157,4.132
twowiki_oncu_500,dense,16,500,0.46721349206349205,0.8415,0.5476668553668553,0.902,0.756,0.5107865079365079,5.79
twowiki_oncu_500,hybrid,3,500,0.5483333333333333,0.48433333333333334,0.5019238095238095,0.566,0.386,0.06566666666666666,1.444
twowiki_oncu_500,hybrid,5,500,0.5728777777777778,0.5295,0.531759595959596,0.616,0.424,0.09712222222222222,1.724
twowiki_oncu_500,hybrid,8,500,0.5719095238095238,0.5835,0.5510443001443002,0.67,0.478,0.1560904761904762,2.19
twowiki_oncu_500,hybrid,16,500,0.5408039682539683,0.7256666666666667,0.5700455932955933,0.802,0.628,0.33119603174603174,3.948
twowiki_oncu_500,iterative,3,500,0.2918,0.22983333333333333,0.2455142857142857,0.304,0.16,0.044199999999999996,0.688
twowiki_oncu_500,iterative,5,500,0.32517619047619045,0.2668333333333333,0.27857041847041847,0.348,0.192,0.07682380952380953,0.884
twowiki_oncu_500,iterative,8,500,0.359352380952381,0.3268333333333333,0.31949148629148627,0.412,0.246,0.14264761904761905,1.302
twowiki_oncu_500,iterative,16,500,0.4289825396825397,0.526,0.4289207792207792,0.62,0.418,0.2950174603174603,2.896
twowiki_oncu_500,lexical,3,500,0.5386666666666666,0.4678333333333333,0.48675238095238094,0.552,0.368,0.03333333333333333,1.284
twowiki_oncu_500,lexical,5,500,0.5593285714285714,0.49733333333333335,0.5102513708513708,0.584,0.398,0.06467142857142857,1.476
twowiki_oncu_500,lexical,8,500,0.5612047619047619,0.5348333333333334,0.5277704184704185,0.618,0.432,0.1267952380952381,1.826
twowiki_oncu_500,lexical,16,500,0.5177230158730158,0.6231666666666666,0.5251544344544344,0.7,0.524,0.26027698412698413,3.018
twowiki_oncu_500,oracle,3,500,1.0,0.94,0.9656190476190476,1.0,0.762,0.0,2.238
twowiki_oncu_500,oracle,5,500,1.0,0.9996666666666667,0.9998181818181818,1.0,0.998,0.0,2.478
twowiki_oncu_500,oracle,8,500,1.0,1.0,1.0,1.0,1.0,0.0,2.48
twowiki_oncu_500,oracle,16,500,1.0,1.0,1.0,1.0,1.0,0.0,2.48
