source,model_name,method,reasoning_type,context_length,evidence_position,evidence_density,distractor_similarity,n,exact_match_strict,answer_f1_strict,exact_match_relaxed,answer_f1_relaxed,exact_match,answer_f1,evidence_precision,evidence_recall,evidence_f1,citation_grounding
2wikimultihopqa,qwen3:14b,direct,comparison,16000,end,low,unknown,13,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,1.0,0.8846153846153846,0.923076923076923,1.0
2wikimultihopqa,qwen3:14b,direct,comparison,16000,end,medium,unknown,5,0.8,0.8,0.8,0.8,0.8,0.8,1.0,0.55,0.7047619047619047,1.0
2wikimultihopqa,qwen3:14b,direct,comparison,16000,front,low,unknown,6,0.5,0.6333333333333333,0.5,0.6333333333333333,0.5,0.6333333333333333,1.0,0.9166666666666666,0.9444444444444444,1.0
2wikimultihopqa,qwen3:14b,direct,comparison,16000,front,medium,unknown,8,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.46875,0.6238095238095238,1.0
2wikimultihopqa,qwen3:14b,direct,comparison,16000,middle,low,unknown,8,0.625,0.625,0.625,0.625,0.625,0.625,1.0,0.8125,0.875,1.0
2wikimultihopqa,qwen3:14b,direct,comparison,16000,middle,medium,unknown,8,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.6476190476190475,1.0
2wikimultihopqa,qwen3:14b,direct,comparison,16000,scattered,low,unknown,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.8333333333333333,1.0
2wikimultihopqa,qwen3:14b,direct,comparison,16000,scattered,medium,unknown,14,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.9642857142857143,0.4642857142857143,0.6238095238095238,1.0
2wikimultihopqa,qwen3:14b,direct,comparison,4000,end,low,unknown,12,0.5,0.5,0.5,0.5,0.5,0.5,0.9166666666666666,0.75,0.8055555555555556,0.9166666666666666
2wikimultihopqa,qwen3:14b,direct,comparison,4000,end,medium,unknown,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.53125,0.680952380952381,1.0
2wikimultihopqa,qwen3:14b,direct,comparison,4000,front,low,unknown,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8888888888888888,0.6111111111111112,0.7037037037037037,0.8888888888888888
2wikimultihopqa,qwen3:14b,direct,comparison,4000,front,medium,unknown,11,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.9545454545454546,0.5,0.6398268398268399,1.0
2wikimultihopqa,qwen3:14b,direct,comparison,4000,middle,low,unknown,8,0.875,0.90625,0.875,0.90625,0.875,0.90625,1.0,0.875,0.9166666666666666,1.0
2wikimultihopqa,qwen3:14b,direct,comparison,4000,middle,medium,unknown,9,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.9444444444444444,0.4444444444444444,0.5830687830687831,1.0
2wikimultihopqa,qwen3:14b,direct,comparison,4000,scattered,high,unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,1.0
2wikimultihopqa,qwen3:14b,direct,comparison,4000,scattered,low,unknown,6,0.5,0.5,0.5,0.5,0.5,0.5,0.9166666666666666,0.75,0.8055555555555556,1.0
2wikimultihopqa,qwen3:14b,direct,comparison,4000,scattered,medium,unknown,12,0.5833333333333334,0.6309523809523809,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.6309523809523809,1.0,0.4791666666666667,0.638095238095238,1.0
2wikimultihopqa,qwen3:14b,direct,comparison,8000,end,low,unknown,8,0.625,0.625,0.625,0.625,0.625,0.625,0.9375,0.9375,0.9375,1.0
2wikimultihopqa,qwen3:14b,direct,comparison,8000,end,medium,unknown,12,0.9166666666666666,0.9444444444444444,0.9166666666666666,0.9444444444444444,0.9166666666666666,0.9444444444444444,1.0,0.4583333333333333,0.6158730158730159,1.0
2wikimultihopqa,qwen3:14b,direct,comparison,8000,front,low,unknown,10,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.6,0.7,0.9
2wikimultihopqa,qwen3:14b,direct,comparison,8000,front,medium,unknown,9,0.6666666666666666,0.7407407407407407,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.7407407407407407,1.0,0.5555555555555556,0.692063492063492,1.0
2wikimultihopqa,qwen3:14b,direct,comparison,8000,middle,low,unknown,6,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.8333333333333334,0.8888888888888888,1.0
2wikimultihopqa,qwen3:14b,direct,comparison,8000,middle,medium,unknown,9,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,1.0,0.5555555555555556,0.7005291005291004,1.0
2wikimultihopqa,qwen3:14b,direct,comparison,8000,scattered,low,unknown,9,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.9444444444444444,0.7777777777777778,0.8333333333333334,1.0
2wikimultihopqa,qwen3:14b,direct,comparison,8000,scattered,medium,unknown,13,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,1.0,0.4807692307692308,0.6344322344322344,1.0
2wikimultihopqa,qwen3:14b,direct,multi_hop,16000,end,low,unknown,24,0.4583333333333333,0.5939102564102564,0.4583333333333333,0.5908799533799534,0.4583333333333333,0.5939102564102564,0.8958333333333334,0.5416666666666666,0.6597222222222222,0.9166666666666666
2wikimultihopqa,qwen3:14b,direct,multi_hop,16000,front,low,unknown,27,0.4074074074074074,0.4660493827160494,0.4074074074074074,0.4711934156378601,0.4074074074074074,0.4660493827160494,0.6481481481481481,0.3888888888888889,0.47530864197530864,0.6666666666666666
2wikimultihopqa,qwen3:14b,direct,multi_hop,16000,middle,low,unknown,26,0.3076923076923077,0.5207785678373914,0.3076923076923077,0.5207785678373914,0.3076923076923077,0.5207785678373914,0.9615384615384616,0.6538461538461539,0.7564102564102564,0.9615384615384616
2wikimultihopqa,qwen3:14b,direct,multi_hop,16000,scattered,low,unknown,19,0.05263157894736842,0.24156545209176788,0.05263157894736842,0.23630229419703103,0.05263157894736842,0.24156545209176788,0.7368421052631579,0.42105263157894735,0.5263157894736842,0.7894736842105263
2wikimultihopqa,qwen3:14b,direct,multi_hop,4000,end,low,unknown,22,0.36363636363636365,0.49393939393939396,0.36363636363636365,0.5212121212121212,0.36363636363636365,0.49393939393939396,0.7272727272727273,0.38636363636363635,0.5,0.7272727272727273
2wikimultihopqa,qwen3:14b,direct,multi_hop,4000,front,low,unknown,22,0.36363636363636365,0.546969696969697,0.36363636363636365,0.546969696969697,0.36363636363636365,0.546969696969697,0.75,0.45454545454545453,0.553030303030303,0.7727272727272727
2wikimultihopqa,qwen3:14b,direct,multi_hop,4000,middle,low,unknown,24,0.375,0.49047619047619045,0.375,0.4889880952380952,0.375,0.49047619047619045,0.9166666666666666,0.6041666666666666,0.7083333333333333,0.9583333333333334
2wikimultihopqa,qwen3:14b,direct,multi_hop,4000,scattered,low,unknown,23,0.4782608695652174,0.5634920634920635,0.4782608695652174,0.5681159420289855,0.4782608695652174,0.5634920634920635,0.8695652173913043,0.4782608695652174,0.608695652173913,0.9130434782608695
2wikimultihopqa,qwen3:14b,direct,multi_hop,8000,end,low,unknown,21,0.3333333333333333,0.5219198790627362,0.3333333333333333,0.5198034769463341,0.3333333333333333,0.5219198790627362,0.8571428571428571,0.47619047619047616,0.6031746031746031,0.9047619047619048
2wikimultihopqa,qwen3:14b,direct,multi_hop,8000,front,low,unknown,23,0.21739130434782608,0.32270531400966185,0.21739130434782608,0.3183574879227053,0.21739130434782608,0.32270531400966185,0.7608695652173914,0.5,0.5869565217391304,0.782608695652174
2wikimultihopqa,qwen3:14b,direct,multi_hop,8000,middle,low,unknown,27,0.3333333333333333,0.5137566137566137,0.3333333333333333,0.5160012826679493,0.3333333333333333,0.5137566137566137,0.7777777777777778,0.5370370370370371,0.6172839506172839,0.7777777777777778
2wikimultihopqa,qwen3:14b,direct,multi_hop,8000,scattered,low,unknown,20,0.1,0.3412770562770563,0.15,0.3661904761904762,0.1,0.3412770562770563,0.875,0.525,0.6416666666666666,0.9
2wikimultihopqa,qwen3:14b,no_evidence,comparison,16000,end,low,unknown,13,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,comparison,16000,end,medium,unknown,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,comparison,16000,front,low,unknown,6,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.7222222222222222,0.0,0.0,0.0,0.0
