source,model_name,reasoning_type,context_length,evidence_position,evidence_density,distractor_similarity,long_method,score_field,score_no_evidence,score_oracle,score_long,n,cue_valid,cue_invalid_reason,cue_raw,cue_clipped
2wikimultihopqa,qwen3:14b,multi_hop,4000,front,low,unknown,direct,exact_match,0.0,0.5454545454545454,0.36363636363636365,22,True,,0.6666666666666667,0.6666666666666667
2wikimultihopqa,qwen3:14b,multi_hop,4000,front,low,unknown,retrieve_then_read,exact_match,0.0,0.5454545454545454,0.36363636363636365,22,True,,0.6666666666666667,0.6666666666666667
2wikimultihopqa,qwen3:14b,comparison,8000,middle,low,unknown,direct,exact_match,0.5,1.0,0.5,6,True,,0.0,0.0
2wikimultihopqa,qwen3:14b,comparison,8000,middle,low,unknown,retrieve_then_read,exact_match,0.5,1.0,0.5,6,True,,0.0,0.0
2wikimultihopqa,qwen3:14b,multi_hop,16000,end,low,unknown,direct,exact_match,0.0,0.6666666666666666,0.4583333333333333,24,True,,0.6875,0.6875
2wikimultihopqa,qwen3:14b,multi_hop,16000,end,low,unknown,retrieve_then_read,exact_match,0.0,0.6666666666666666,0.2916666666666667,24,True,,0.43750000000000006,0.43750000000000006
2wikimultihopqa,qwen3:14b,multi_hop,4000,scattered,low,unknown,direct,exact_match,0.0,0.391304347826087,0.4782608695652174,23,True,,1.222222222222222,1.0
2wikimultihopqa,qwen3:14b,multi_hop,4000,scattered,low,unknown,retrieve_then_read,exact_match,0.0,0.391304347826087,0.21739130434782608,23,True,,0.5555555555555555,0.5555555555555555
2wikimultihopqa,qwen3:14b,multi_hop,8000,front,low,unknown,direct,exact_match,0.043478260869565216,0.5652173913043478,0.21739130434782608,23,True,,0.3333333333333333,0.3333333333333333
2wikimultihopqa,qwen3:14b,multi_hop,8000,front,low,unknown,retrieve_then_read,exact_match,0.043478260869565216,0.5652173913043478,0.17391304347826086,23,True,,0.25,0.25
2wikimultihopqa,qwen3:14b,multi_hop,16000,middle,low,unknown,direct,exact_match,0.11538461538461539,0.4230769230769231,0.3076923076923077,26,True,,0.625,0.625
2wikimultihopqa,qwen3:14b,multi_hop,16000,middle,low,unknown,retrieve_then_read,exact_match,0.11538461538461539,0.4230769230769231,0.19230769230769232,26,True,,0.25,0.25
2wikimultihopqa,qwen3:14b,multi_hop,4000,end,low,unknown,direct,exact_match,0.0,0.6363636363636364,0.36363636363636365,22,True,,0.5714285714285715,0.5714285714285715
2wikimultihopqa,qwen3:14b,multi_hop,4000,end,low,unknown,retrieve_then_read,exact_match,0.0,0.6363636363636364,0.22727272727272727,22,True,,0.35714285714285715,0.35714285714285715
2wikimultihopqa,qwen3:14b,comparison,8000,scattered,low,unknown,direct,exact_match,0.5555555555555556,0.8888888888888888,0.4444444444444444,9,True,,-0.33333333333333354,0.0
2wikimultihopqa,qwen3:14b,comparison,8000,scattered,low,unknown,retrieve_then_read,exact_match,0.5555555555555556,0.8888888888888888,0.3333333333333333,9,True,,-0.666666666666667,0.0
2wikimultihopqa,qwen3:14b,comparison,16000,front,medium,unknown,direct,exact_match,0.5,1.0,0.75,8,True,,0.5,0.5
2wikimultihopqa,qwen3:14b,comparison,16000,front,medium,unknown,retrieve_then_read,exact_match,0.5,1.0,1.0,8,True,,1.0,1.0
2wikimultihopqa,qwen3:14b,multi_hop,4000,middle,low,unknown,direct,exact_match,0.041666666666666664,0.5416666666666666,0.375,24,True,,0.6666666666666667,0.6666666666666667
2wikimultihopqa,qwen3:14b,multi_hop,4000,middle,low,unknown,retrieve_then_read,exact_match,0.041666666666666664,0.5416666666666666,0.3333333333333333,24,True,,0.5833333333333334,0.5833333333333334
2wikimultihopqa,qwen3:14b,comparison,8000,end,medium,unknown,direct,exact_match,0.3333333333333333,0.75,0.9166666666666666,12,True,,1.3999999999999997,1.0
2wikimultihopqa,qwen3:14b,comparison,8000,end,medium,unknown,retrieve_then_read,exact_match,0.3333333333333333,0.75,0.8333333333333334,12,True,,1.2,1.0
2wikimultihopqa,qwen3:14b,comparison,16000,scattered,medium,unknown,direct,exact_match,0.42857142857142855,0.7857142857142857,0.7857142857142857,14,True,,1.0,1.0
2wikimultihopqa,qwen3:14b,comparison,16000,scattered,medium,unknown,retrieve_then_read,exact_match,0.42857142857142855,0.7857142857142857,0.5714285714285714,14,True,,0.39999999999999997,0.39999999999999997
2wikimultihopqa,qwen3:14b,comparison,4000,front,medium,unknown,direct,exact_match,0.18181818181818182,0.5454545454545454,0.36363636363636365,11,True,,0.5000000000000001,0.5000000000000001
2wikimultihopqa,qwen3:14b,comparison,4000,front,medium,unknown,retrieve_then_read,exact_match,0.18181818181818182,0.5454545454545454,0.36363636363636365,11,True,,0.5000000000000001,0.5000000000000001
2wikimultihopqa,qwen3:14b,multi_hop,8000,middle,low,unknown,direct,exact_match,0.037037037037037035,0.48148148148148145,0.3333333333333333,27,True,,0.6666666666666666,0.6666666666666666
2wikimultihopqa,qwen3:14b,multi_hop,8000,middle,low,unknown,retrieve_then_read,exact_match,0.037037037037037035,0.48148148148148145,0.25925925925925924,27,True,,0.5,0.5
2wikimultihopqa,qwen3:14b,comparison,8000,front,low,unknown,direct,exact_match,0.6,1.0,0.8,10,True,,0.5000000000000001,0.5000000000000001
2wikimultihopqa,qwen3:14b,comparison,8000,front,low,unknown,retrieve_then_read,exact_match,0.6,1.0,0.6,10,True,,0.0,0.0
2wikimultihopqa,qwen3:14b,comparison,16000,middle,medium,unknown,direct,exact_match,0.625,0.625,0.5,8,False,oracle_not_above_no_evidence,,
2wikimultihopqa,qwen3:14b,comparison,16000,middle,medium,unknown,retrieve_then_read,exact_match,0.625,0.625,0.375,8,False,oracle_not_above_no_evidence,,
2wikimultihopqa,qwen3:14b,comparison,8000,scattered,medium,unknown,direct,exact_match,0.38461538461538464,0.8461538461538461,0.7692307692307693,13,True,,0.8333333333333335,0.8333333333333335
2wikimultihopqa,qwen3:14b,comparison,8000,scattered,medium,unknown,retrieve_then_read,exact_match,0.38461538461538464,0.8461538461538461,0.6923076923076923,13,True,,0.6666666666666666,0.6666666666666666
2wikimultihopqa,qwen3:14b,comparison,16000,front,low,unknown,direct,exact_match,0.6666666666666666,1.0,0.5,6,True,,-0.49999999999999983,0.0
2wikimultihopqa,qwen3:14b,comparison,16000,front,low,unknown,retrieve_then_read,exact_match,0.6666666666666666,1.0,0.6666666666666666,6,True,,0.0,0.0
2wikimultihopqa,qwen3:14b,comparison,16000,end,medium,unknown,direct,exact_match,1.0,0.8,0.8,5,False,oracle_not_above_no_evidence,,
2wikimultihopqa,qwen3:14b,comparison,16000,end,medium,unknown,retrieve_then_read,exact_match,1.0,0.8,1.0,5,False,oracle_not_above_no_evidence,,
2wikimultihopqa,qwen3:14b,comparison,16000,middle,low,unknown,direct,exact_match,0.5,0.75,0.625,8,True,,0.5,0.5
