model_name,condition,task_name,context_length,n,exact_match,answer_f1,parse_failure_rate
gemma3:12b,full_context,aggregation_sum,4000,20,0.05,0.05,0.2
gemma3:12b,full_context,aggregation_sum,8000,20,0.05,0.05,0.45
gemma3:12b,full_context,aggregation_sum,16000,20,0.0,0.0,0.7
gemma3:12b,full_context,aggregation_sum,32000,20,0.0,0.0,0.6
gemma3:12b,full_context,multi_hop_trace,4000,20,0.3,0.3,0.0
gemma3:12b,full_context,multi_hop_trace,8000,20,0.6,0.6,0.0
gemma3:12b,full_context,multi_hop_trace,16000,20,0.85,0.85,0.0
gemma3:12b,full_context,multi_hop_trace,32000,20,0.4,0.4,0.0
gemma3:12b,full_context,retrieval_key_value,4000,20,1.0,1.0,0.0
gemma3:12b,full_context,retrieval_key_value,8000,20,1.0,1.0,0.0
gemma3:12b,full_context,retrieval_key_value,16000,20,1.0,1.0,0.0
gemma3:12b,full_context,retrieval_key_value,32000,20,1.0,1.0,0.0
gemma3:12b,retrieved_context,aggregation_sum,4000,20,0.5,0.5,0.0
gemma3:12b,retrieved_context,aggregation_sum,8000,20,0.65,0.65,0.0
gemma3:12b,retrieved_context,aggregation_sum,16000,20,0.4,0.4,0.0
gemma3:12b,retrieved_context,aggregation_sum,32000,20,0.25,0.25,0.0
gemma3:12b,retrieved_context,multi_hop_trace,4000,20,0.7,0.7,0.0
gemma3:12b,retrieved_context,multi_hop_trace,8000,20,0.55,0.55,0.0
gemma3:12b,retrieved_context,multi_hop_trace,16000,20,0.75,0.75,0.0
gemma3:12b,retrieved_context,multi_hop_trace,32000,20,0.75,0.75,0.0
gemma3:12b,retrieved_context,retrieval_key_value,4000,20,1.0,1.0,0.0
gemma3:12b,retrieved_context,retrieval_key_value,8000,20,1.0,1.0,0.0
gemma3:12b,retrieved_context,retrieval_key_value,16000,20,1.0,1.0,0.0
gemma3:12b,retrieved_context,retrieval_key_value,32000,20,1.0,1.0,0.0
qwen2.5:14b,full_context,aggregation_sum,4000,20,0.45,0.45,0.05
qwen2.5:14b,full_context,aggregation_sum,8000,20,0.5,0.5,0.1
qwen2.5:14b,full_context,aggregation_sum,16000,20,0.25,0.25,0.2
qwen2.5:14b,full_context,aggregation_sum,32000,20,0.3,0.3,0.1
qwen2.5:14b,full_context,multi_hop_trace,4000,20,1.0,1.0,0.0
qwen2.5:14b,full_context,multi_hop_trace,8000,20,1.0,1.0,0.0
qwen2.5:14b,full_context,multi_hop_trace,16000,20,0.9,0.9,0.0
qwen2.5:14b,full_context,multi_hop_trace,32000,20,0.85,0.85,0.0
qwen2.5:14b,full_context,retrieval_key_value,4000,20,1.0,1.0,0.0
qwen2.5:14b,full_context,retrieval_key_value,8000,20,1.0,1.0,0.0
qwen2.5:14b,full_context,retrieval_key_value,16000,20,1.0,1.0,0.0
qwen2.5:14b,full_context,retrieval_key_value,32000,20,1.0,1.0,0.0
qwen2.5:14b,retrieved_context,aggregation_sum,4000,20,0.6,0.6,0.0
qwen2.5:14b,retrieved_context,aggregation_sum,8000,20,0.8,0.8,0.0
