condition,task_name,context_length,n,exact_match,answer_f1,parse_failure_rate
full_context,aggregation_sum,4000,20,0.75,0.75,0.0
full_context,aggregation_sum,8000,20,0.5,0.5,0.0
full_context,aggregation_sum,16000,20,0.5,0.5,0.0
full_context,aggregation_sum,32000,20,0.45,0.4833333333333333,0.0
full_context,multi_hop_trace,4000,20,0.65,0.65,0.0
full_context,multi_hop_trace,8000,20,0.95,0.95,0.0
full_context,multi_hop_trace,16000,20,0.8,0.8,0.0
full_context,multi_hop_trace,32000,20,0.75,0.75,0.0
full_context,retrieval_key_value,4000,20,0.95,0.95,0.0
full_context,retrieval_key_value,8000,20,1.0,1.0,0.0
full_context,retrieval_key_value,16000,20,0.8,0.8,0.0
full_context,retrieval_key_value,32000,20,1.0,1.0,0.0
retrieved_context,aggregation_sum,4000,20,0.8,0.8166666666666667,0.0
retrieved_context,aggregation_sum,8000,20,0.5,0.5,0.0
retrieved_context,aggregation_sum,16000,20,0.6,0.6,0.0
retrieved_context,aggregation_sum,32000,20,0.9,0.9,0.0
retrieved_context,multi_hop_trace,4000,20,0.95,0.95,0.0
retrieved_context,multi_hop_trace,8000,20,1.0,1.0,0.0
retrieved_context,multi_hop_trace,16000,20,1.0,1.0,0.0
retrieved_context,multi_hop_trace,32000,20,1.0,1.0,0.0
retrieved_context,retrieval_key_value,4000,20,1.0,1.0,0.0
retrieved_context,retrieval_key_value,8000,20,1.0,1.0,0.0
retrieved_context,retrieval_key_value,16000,20,1.0,1.0,0.0
retrieved_context,retrieval_key_value,32000,20,1.0,1.0,0.0
