Model,Dataset,Condition,Metric,Mean,CI95_Low,CI95_High,N,Parse_Errors
Qwen2.5-14B,Controlled-safe16K-200,no_evidence,answer_f1_relaxed,0.0,0.0,0.0,200,0
Qwen2.5-14B,Controlled-safe16K-200,no_evidence,answer_f1_strict,0.0,0.0,0.0,200,0
Qwen2.5-14B,Controlled-safe16K-200,no_evidence,exact_match_relaxed,0.0,0.0,0.0,200,0
Qwen2.5-14B,Controlled-safe16K-200,no_evidence,evidence_f1,0.0,0.0,0.0,200,0
Qwen2.5-14B,Controlled-safe16K-200,direct,answer_f1_relaxed,0.5375,0.4725,0.6016666666666666,200,0
Qwen2.5-14B,Controlled-safe16K-200,direct,answer_f1_strict,0.35200000000000004,0.294,0.4125,200,0
Qwen2.5-14B,Controlled-safe16K-200,direct,exact_match_relaxed,0.465,0.395,0.535,200,0
Qwen2.5-14B,Controlled-safe16K-200,direct,evidence_f1,0.5958333333333333,0.5308333333333334,0.6608333333333334,200,0
Qwen2.5-14B,Controlled-safe16K-200,retrieve_then_read,answer_f1_relaxed,0.975,0.95,0.995,200,0
Qwen2.5-14B,Controlled-safe16K-200,retrieve_then_read,answer_f1_strict,0.8530000000000001,0.8190000000000001,0.884,200,0
Qwen2.5-14B,Controlled-safe16K-200,retrieve_then_read,exact_match_relaxed,0.975,0.95,0.995,200,0
Qwen2.5-14B,Controlled-safe16K-200,retrieve_then_read,evidence_f1,0.9748333333333333,0.96,0.9878333333333333,200,0
Qwen2.5-14B,Controlled-safe16K-200,oracle,answer_f1_relaxed,0.9033333333333333,0.8816666666666666,0.9233333333333335,200,0
Qwen2.5-14B,Controlled-safe16K-200,oracle,answer_f1_strict,0.8270000000000001,0.7959999999999999,0.8565,200,0
Qwen2.5-14B,Controlled-safe16K-200,oracle,exact_match_relaxed,0.71,0.645,0.77,200,0
Qwen2.5-14B,Controlled-safe16K-200,oracle,evidence_f1,1.0,1.0,1.0,200,0
Qwen2.5-14B,HotpotQA-ONCU-200,no_evidence,answer_f1_relaxed,0.24112301587301588,0.18652708333333334,0.2980565476190476,200,0
Qwen2.5-14B,HotpotQA-ONCU-200,no_evidence,answer_f1_strict,0.23768253968253966,0.18413849206349203,0.2951680555555555,200,0
Qwen2.5-14B,HotpotQA-ONCU-200,no_evidence,exact_match_relaxed,0.185,0.135,0.24,200,0
Qwen2.5-14B,HotpotQA-ONCU-200,no_evidence,evidence_f1,0.0,0.0,0.0,200,0
Qwen2.5-14B,HotpotQA-ONCU-200,direct,answer_f1_relaxed,0.7325677655677655,0.6777897206959705,0.7840164835164835,200,0
Qwen2.5-14B,HotpotQA-ONCU-200,direct,answer_f1_strict,0.7481312576312575,0.695365003052503,0.798898611111111,200,0
Qwen2.5-14B,HotpotQA-ONCU-200,direct,exact_match_relaxed,0.575,0.505,0.645,200,0
Qwen2.5-14B,HotpotQA-ONCU-200,direct,evidence_f1,0.688107142857143,0.6456892857142857,0.7302032738095238,200,0
Qwen2.5-14B,HotpotQA-ONCU-200,retrieve_then_read,answer_f1_relaxed,0.5896825396825396,0.5267727182539683,0.65121498015873,200,0
Qwen2.5-14B,HotpotQA-ONCU-200,retrieve_then_read,answer_f1_strict,0.5953293650793651,0.5327429563492063,0.6567742063492064,200,0
Qwen2.5-14B,HotpotQA-ONCU-200,retrieve_then_read,exact_match_relaxed,0.475,0.405,0.545,200,0
Qwen2.5-14B,HotpotQA-ONCU-200,retrieve_then_read,evidence_f1,0.4776547619047619,0.43195148809523815,0.522667857142857,200,0
Qwen2.5-14B,HotpotQA-ONCU-200,oracle,answer_f1_relaxed,0.7671930618401206,0.7163329275299863,0.816645647489765,200,0
Qwen2.5-14B,HotpotQA-ONCU-200,oracle,answer_f1_strict,0.7876970300940889,0.7376889041514041,0.834879184622567,200,0
Qwen2.5-14B,HotpotQA-ONCU-200,oracle,exact_match_relaxed,0.625,0.56,0.69,200,0
Qwen2.5-14B,HotpotQA-ONCU-200,oracle,evidence_f1,0.8672142857142856,0.8447967261904763,0.888667261904762,200,0
Qwen3-14B,Controlled-safe16K-200,no_evidence,answer_f1_relaxed,0.0075,0.0,0.0175,200,0
Qwen3-14B,Controlled-safe16K-200,no_evidence,answer_f1_strict,0.006000000000000001,0.0,0.014000000000000002,200,0
Qwen3-14B,Controlled-safe16K-200,no_evidence,exact_match_relaxed,0.0,0.0,0.0,200,0
Qwen3-14B,Controlled-safe16K-200,no_evidence,evidence_f1,0.0,0.0,0.0,200,0
Qwen3-14B,Controlled-safe16K-200,direct,answer_f1_relaxed,0.5258333333333334,0.45833333333333326,0.5925,200,0
Qwen3-14B,Controlled-safe16K-200,direct,answer_f1_strict,0.45833333333333326,0.3953333333333333,0.5219999999999999,200,0
Qwen3-14B,Controlled-safe16K-200,direct,exact_match_relaxed,0.495,0.425,0.565,200,0
Qwen3-14B,Controlled-safe16K-200,direct,evidence_f1,0.7056666666666668,0.6473333333333333,0.7606666666666666,200,0
Qwen3-14B,Controlled-safe16K-200,retrieve_then_read,answer_f1_relaxed,0.9925,0.98,1.0,200,0
Qwen3-14B,Controlled-safe16K-200,retrieve_then_read,answer_f1_strict,0.9070000000000001,0.889,0.9230000000000002,200,0
Qwen3-14B,Controlled-safe16K-200,retrieve_then_read,exact_match_relaxed,0.99,0.975,1.0,200,0
Qwen3-14B,Controlled-safe16K-200,retrieve_then_read,evidence_f1,0.9715,0.9590000000000001,0.983,200,0
