Model,Dataset,Condition,Metric,Mean,CI95_Low,CI95_High,Valid_Groups,Value_Column
Qwen2.5-14B,Controlled-safe16K-200,direct,ONCU_Relaxed_F1,0.5831556503198294,0.5055970149253731,0.6633795309168443,134,oncu_clipped
Qwen2.5-14B,Controlled-safe16K-200,retrieve_then_read,ONCU_Relaxed_F1,0.9813432835820896,0.9552238805970149,1.0,134,oncu_clipped
Qwen2.5-14B,HotpotQA-ONCU-200,direct,ONCU_Relaxed_F1,0.9055748924091004,0.8434588180489485,0.9584804234284839,29,oncu_clipped
Qwen2.5-14B,HotpotQA-ONCU-200,retrieve_then_read,ONCU_Relaxed_F1,0.6387119907436908,0.5110949728255806,0.7553582080865423,29,oncu_clipped
Qwen3-14B,Controlled-safe16K-200,direct,ONCU_Relaxed_F1,0.5350877192982456,0.45112781954887216,0.619047619047619,133,oncu_clipped
Qwen3-14B,Controlled-safe16K-200,retrieve_then_read,ONCU_Relaxed_F1,0.9943609022556391,0.9849624060150376,1.0,133,oncu_clipped
Qwen3-14B,HotpotQA-ONCU-200,direct,ONCU_Relaxed_F1,0.7873792898799407,0.6793862908358828,0.8811866013793767,28,oncu_clipped
Qwen3-14B,HotpotQA-ONCU-200,retrieve_then_read,ONCU_Relaxed_F1,0.556824108975943,0.4412720712144704,0.6752401112953288,28,oncu_clipped
Gemma3-12B,Controlled-safe16K-200,direct,ONCU_Relaxed_F1,0.5147243107769425,0.43828320802005016,0.5911654135338346,133,oncu_clipped
Gemma3-12B,Controlled-safe16K-200,retrieve_then_read,ONCU_Relaxed_F1,0.8421052631578947,0.7819548872180451,0.8966165413533834,133,oncu_clipped
Gemma3-12B,HotpotQA-ONCU-200,direct,ONCU_Relaxed_F1,0.718809157380553,0.6044765975944622,0.8191703909393551,28,oncu_clipped
Gemma3-12B,HotpotQA-ONCU-200,retrieve_then_read,ONCU_Relaxed_F1,0.5361990969417451,0.42794475369460083,0.6447628451061425,28,oncu_clipped
