Model,Dataset,Condition_Display,N,Loc.,Sel.,Int.,Conv.,Succ.,Parse,Other
Qwen2.5-14B,Controlled-safe16K-200,Full Context,200,36.0,0.5,10.0,38.5,15.0,0.0,0.0
Qwen2.5-14B,Controlled-safe16K-200,Retrieved Evidence,200,0.0,3.0,3.0,43.5,50.5,0.0,0.0
Qwen2.5-14B,HotpotQA-ONCU-200,Full Context,200,1.5,5.0,22.5,11.5,59.5,0.0,0.0
Qwen2.5-14B,HotpotQA-ONCU-200,Retrieved Evidence,200,23.0,2.5,23.5,3.0,48.0,0.0,0.0
Qwen3-14B,Controlled-safe16K-200,Full Context,200,23.5,0.5,14.5,30.0,31.5,0.0,0.0
Qwen3-14B,Controlled-safe16K-200,Retrieved Evidence,200,0.0,1.0,4.5,38.0,56.5,0.0,0.0
Qwen3-14B,HotpotQA-ONCU-200,Full Context,200,0.5,7.0,28.0,9.5,55.0,0.0,0.0
Qwen3-14B,HotpotQA-ONCU-200,Retrieved Evidence,200,22.5,3.5,27.0,4.0,43.0,0.0,0.0
Gemma3-12B,Controlled-safe16K-200,Full Context,200,10.5,0.0,52.5,25.0,9.0,3.0,0.0
Gemma3-12B,Controlled-safe16K-200,Retrieved Evidence,200,0.0,7.0,32.5,19.5,41.0,0.0,0.0
Gemma3-12B,HotpotQA-ONCU-200,Full Context,200,0.5,8.5,31.5,3.5,56.0,0.0,0.0
Gemma3-12B,HotpotQA-ONCU-200,Retrieved Evidence,200,26.0,2.5,26.0,1.0,44.5,0.0,0.0
