Model,Dataset,Condition,Failure_Type,Count,Rate,Percent,N
Qwen2.5-14B,Controlled-safe16K-200,no_evidence,evidence_localization_failure,200,1.0,100.0,200
Qwen2.5-14B,Controlled-safe16K-200,direct,answer_conversion_failure,77,0.385,38.5,200
Qwen2.5-14B,Controlled-safe16K-200,direct,evidence_localization_failure,72,0.36,36.0,200
Qwen2.5-14B,Controlled-safe16K-200,direct,success,30,0.15,15.0,200
Qwen2.5-14B,Controlled-safe16K-200,direct,evidence_integration_failure,20,0.1,10.0,200
Qwen2.5-14B,Controlled-safe16K-200,direct,evidence_selection_failure,1,0.005,0.5,200
Qwen2.5-14B,Controlled-safe16K-200,retrieve_then_read,success,101,0.505,50.5,200
Qwen2.5-14B,Controlled-safe16K-200,retrieve_then_read,answer_conversion_failure,87,0.435,43.5,200
Qwen2.5-14B,Controlled-safe16K-200,retrieve_then_read,evidence_integration_failure,6,0.03,3.0,200
Qwen2.5-14B,Controlled-safe16K-200,retrieve_then_read,evidence_selection_failure,6,0.03,3.0,200
Qwen2.5-14B,Controlled-safe16K-200,oracle,success,114,0.57,57.0,200
Qwen2.5-14B,Controlled-safe16K-200,oracle,answer_conversion_failure,86,0.43,43.0,200
Qwen2.5-14B,HotpotQA-ONCU-200,no_evidence,evidence_localization_failure,163,0.815,81.5,200
Qwen2.5-14B,HotpotQA-ONCU-200,no_evidence,success,37,0.185,18.5,200
Qwen2.5-14B,HotpotQA-ONCU-200,direct,success,119,0.595,59.5,200
Qwen2.5-14B,HotpotQA-ONCU-200,direct,evidence_integration_failure,45,0.225,22.5,200
Qwen2.5-14B,HotpotQA-ONCU-200,direct,answer_conversion_failure,23,0.115,11.5,200
Qwen2.5-14B,HotpotQA-ONCU-200,direct,evidence_selection_failure,10,0.05,5.0,200
Qwen2.5-14B,HotpotQA-ONCU-200,direct,evidence_localization_failure,3,0.015,1.5,200
Qwen2.5-14B,HotpotQA-ONCU-200,retrieve_then_read,success,96,0.48,48.0,200
Qwen2.5-14B,HotpotQA-ONCU-200,retrieve_then_read,evidence_integration_failure,47,0.235,23.5,200
Qwen2.5-14B,HotpotQA-ONCU-200,retrieve_then_read,evidence_localization_failure,46,0.23,23.0,200
Qwen2.5-14B,HotpotQA-ONCU-200,retrieve_then_read,answer_conversion_failure,6,0.03,3.0,200
Qwen2.5-14B,HotpotQA-ONCU-200,retrieve_then_read,evidence_selection_failure,5,0.025,2.5,200
Qwen2.5-14B,HotpotQA-ONCU-200,oracle,success,129,0.645,64.5,200
Qwen2.5-14B,HotpotQA-ONCU-200,oracle,answer_conversion_failure,44,0.22,22.0,200
Qwen2.5-14B,HotpotQA-ONCU-200,oracle,evidence_integration_failure,27,0.135,13.5,200
Qwen3-14B,Controlled-safe16K-200,no_evidence,evidence_localization_failure,200,1.0,100.0,200
Qwen3-14B,Controlled-safe16K-200,direct,success,63,0.315,31.5,200
Qwen3-14B,Controlled-safe16K-200,direct,answer_conversion_failure,60,0.3,30.0,200
Qwen3-14B,Controlled-safe16K-200,direct,evidence_localization_failure,47,0.235,23.5,200
Qwen3-14B,Controlled-safe16K-200,direct,evidence_integration_failure,29,0.145,14.5,200
Qwen3-14B,Controlled-safe16K-200,direct,evidence_selection_failure,1,0.005,0.5,200
Qwen3-14B,Controlled-safe16K-200,retrieve_then_read,success,113,0.565,56.5,200
Qwen3-14B,Controlled-safe16K-200,retrieve_then_read,answer_conversion_failure,76,0.38,38.0,200
Qwen3-14B,Controlled-safe16K-200,retrieve_then_read,evidence_integration_failure,9,0.045,4.5,200
Qwen3-14B,Controlled-safe16K-200,retrieve_then_read,evidence_selection_failure,2,0.01,1.0,200
Qwen3-14B,Controlled-safe16K-200,oracle,success,122,0.61,61.0,200
Qwen3-14B,Controlled-safe16K-200,oracle,answer_conversion_failure,78,0.39,39.0,200
Qwen3-14B,HotpotQA-ONCU-200,no_evidence,evidence_localization_failure,159,0.795,79.5,200
Qwen3-14B,HotpotQA-ONCU-200,no_evidence,success,41,0.205,20.5,200
Qwen3-14B,HotpotQA-ONCU-200,direct,success,110,0.55,55.0,200
Qwen3-14B,HotpotQA-ONCU-200,direct,evidence_integration_failure,56,0.28,28.0,200
Qwen3-14B,HotpotQA-ONCU-200,direct,answer_conversion_failure,19,0.095,9.5,200
