Model,Dataset,Run,Raw_Failure_Type,Count
Qwen2.5-14B,Controlled-safe16K-200,controlled_safe16k_qwen25_14b_200_core_final,evidence_localization_failure,272
Qwen2.5-14B,Controlled-safe16K-200,controlled_safe16k_qwen25_14b_200_core_final,answer_conversion_failure,250
Qwen2.5-14B,Controlled-safe16K-200,controlled_safe16k_qwen25_14b_200_core_final,success,245
Qwen2.5-14B,Controlled-safe16K-200,controlled_safe16k_qwen25_14b_200_core_final,evidence_integration_failure,26
Qwen2.5-14B,Controlled-safe16K-200,controlled_safe16k_qwen25_14b_200_core_final,evidence_selection_failure,7
Qwen2.5-14B,HotpotQA-ONCU-200,hotpotqa_qwen25_14b_200_core_final,success,381
Qwen2.5-14B,HotpotQA-ONCU-200,hotpotqa_qwen25_14b_200_core_final,evidence_localization_failure,212
Qwen2.5-14B,HotpotQA-ONCU-200,hotpotqa_qwen25_14b_200_core_final,evidence_integration_failure,119
Qwen2.5-14B,HotpotQA-ONCU-200,hotpotqa_qwen25_14b_200_core_final,answer_conversion_failure,73
Qwen2.5-14B,HotpotQA-ONCU-200,hotpotqa_qwen25_14b_200_core_final,evidence_selection_failure,15
Qwen3-14B,Controlled-safe16K-200,controlled_safe16k_qwen3_14b_200_core_final,success,298
Qwen3-14B,Controlled-safe16K-200,controlled_safe16k_qwen3_14b_200_core_final,evidence_localization_failure,247
Qwen3-14B,Controlled-safe16K-200,controlled_safe16k_qwen3_14b_200_core_final,answer_conversion_failure,214
Qwen3-14B,Controlled-safe16K-200,controlled_safe16k_qwen3_14b_200_core_final,evidence_integration_failure,38
Qwen3-14B,Controlled-safe16K-200,controlled_safe16k_qwen3_14b_200_core_final,evidence_selection_failure,3
Qwen3-14B,HotpotQA-ONCU-200,hotpotqa_qwen3_14b_200_core_final,success,372
Qwen3-14B,HotpotQA-ONCU-200,hotpotqa_qwen3_14b_200_core_final,evidence_localization_failure,207
Qwen3-14B,HotpotQA-ONCU-200,hotpotqa_qwen3_14b_200_core_final,evidence_integration_failure,149
Qwen3-14B,HotpotQA-ONCU-200,hotpotqa_qwen3_14b_200_core_final,answer_conversion_failure,51
Qwen3-14B,HotpotQA-ONCU-200,hotpotqa_qwen3_14b_200_core_final,evidence_selection_failure,21
Gemma3-12B,Controlled-safe16K-200,controlled_safe16k_gemma3_12b_200_core_final,evidence_localization_failure,227
Gemma3-12B,Controlled-safe16K-200,controlled_safe16k_gemma3_12b_200_core_final,success,216
Gemma3-12B,Controlled-safe16K-200,controlled_safe16k_gemma3_12b_200_core_final,answer_conversion_failure,173
Gemma3-12B,Controlled-safe16K-200,controlled_safe16k_gemma3_12b_200_core_final,evidence_integration_failure,170
Gemma3-12B,Controlled-safe16K-200,controlled_safe16k_gemma3_12b_200_core_final,evidence_selection_failure,14
Gemma3-12B,HotpotQA-ONCU-200,hotpotqa_gemma3_12b_200_core_final,success,376
Gemma3-12B,HotpotQA-ONCU-200,hotpotqa_gemma3_12b_200_core_final,evidence_localization_failure,214
Gemma3-12B,HotpotQA-ONCU-200,hotpotqa_gemma3_12b_200_core_final,evidence_integration_failure,158
Gemma3-12B,HotpotQA-ONCU-200,hotpotqa_gemma3_12b_200_core_final,answer_conversion_failure,30
Gemma3-12B,HotpotQA-ONCU-200,hotpotqa_gemma3_12b_200_core_final,evidence_selection_failure,22
