long_method,score_field,valid_groups,cue_clipped_mean,cue_raw_mean,score_no_evidence_mean,score_oracle_mean,score_long_mean,oncu_clipped_mean,oncu_raw_mean
direct,answer_f1,28,0.7146894535656241,0.7192632646112435,0.2155411470143613,0.8056706405367119,0.6661807765220784,0.7146894535656241,0.7192632646112435
retrieve_then_read,answer_f1,28,0.5262000209463149,0.5259389754591387,0.2155411470143613,0.8056706405367119,0.5528075611557755,0.5262000209463149,0.5259389754591387
direct,answer_f1_relaxed,28,0.718809157380553,0.7232687801394162,0.2151821145124716,0.7869017440892441,0.6517687719027004,0.718809157380553,0.7232687801394162
retrieve_then_read,answer_f1_relaxed,28,0.5361990969417451,0.5361990969417451,0.2151821145124716,0.7869017440892441,0.5495601306762021,0.5361990969417451,0.5361990969417451
direct,answer_f1_strict,28,0.7146894535656241,0.7192632646112435,0.2155411470143613,0.8056706405367119,0.6661807765220784,0.7146894535656241,0.7192632646112435
retrieve_then_read,answer_f1_strict,28,0.5262000209463149,0.5259389754591387,0.2155411470143613,0.8056706405367119,0.5528075611557755,0.5262000209463149,0.5259389754591387
direct,exact_match,27,0.75,0.7552910052910052,0.114373897707231,0.6898001175778953,0.5622427983539094,0.75,0.7552910052910052
retrieve_then_read,exact_match,27,0.5134479717813052,0.5319664902998236,0.114373897707231,0.6898001175778953,0.4448118753674309,0.5134479717813052,0.5319664902998236
direct,exact_match_relaxed,27,0.7512345679012347,0.7565255731922399,0.114373897707231,0.670870076425632,0.5470164609053497,0.7512345679012347,0.7565255731922399
retrieve_then_read,exact_match_relaxed,27,0.5233245149911817,0.5418430335097002,0.114373897707231,0.670870076425632,0.4411081716637272,0.5233245149911817,0.5418430335097002
direct,exact_match_strict,27,0.75,0.7552910052910052,0.114373897707231,0.6898001175778953,0.5622427983539094,0.75,0.7552910052910052
retrieve_then_read,exact_match_strict,27,0.5134479717813052,0.5319664902998236,0.114373897707231,0.6898001175778953,0.4448118753674309,0.5134479717813052,0.5319664902998236
