long_method,score_field,valid_groups,cue_clipped_mean,cue_raw_mean,score_no_evidence_mean,score_oracle_mean,score_long_mean,oncu_clipped_mean,oncu_raw_mean
direct,answer_f1,28,0.8108532253065466,0.8116630730551698,0.2335316171923314,0.8176016757713186,0.7155956262652692,0.8108532253065466,0.8116630730551698
retrieve_then_read,answer_f1,28,0.5614118555390102,0.5651119442701548,0.2335316171923314,0.8176016757713186,0.5610726525458668,0.5614118555390102,0.5651119442701548
direct,answer_f1_relaxed,28,0.7873792898799407,0.7787906413879623,0.236310367581376,0.8042182668521953,0.7017227266780839,0.7873792898799407,0.7787906413879623
retrieve_then_read,answer_f1_relaxed,28,0.5568241089759431,0.5400101555777493,0.236310367581376,0.8042182668521953,0.5574245215763073,0.5568241089759431,0.5400101555777493
direct,answer_f1_strict,28,0.8108532253065466,0.8116630730551698,0.2335316171923314,0.8176016757713186,0.7155956262652692,0.8108532253065466,0.8116630730551698
retrieve_then_read,answer_f1_strict,28,0.5614118555390102,0.5651119442701548,0.2335316171923314,0.8176016757713186,0.5610726525458668,0.5614118555390102,0.5651119442701548
direct,exact_match,27,0.7574955908289241,0.7821869488536156,0.1497060552616108,0.708259847148736,0.596252204585538,0.7574955908289241,0.7821869488536156
retrieve_then_read,exact_match,27,0.5668430335097002,0.5298059964726631,0.1497060552616108,0.708259847148736,0.4583186360964139,0.5668430335097002,0.5298059964726631
direct,exact_match_relaxed,27,0.7451499118165785,0.7328042328042328,0.1497060552616108,0.6934450323339212,0.581437389770723,0.7451499118165785,0.7328042328042328
retrieve_then_read,exact_match_relaxed,27,0.5699294532627865,0.4958553791887125,0.1497060552616108,0.6934450323339212,0.4546149323927101,0.5699294532627865,0.4958553791887125
direct,exact_match_strict,27,0.7574955908289241,0.7821869488536156,0.1497060552616108,0.708259847148736,0.596252204585538,0.7574955908289241,0.7821869488536156
retrieve_then_read,exact_match_strict,27,0.5668430335097002,0.5298059964726631,0.1497060552616108,0.708259847148736,0.4583186360964139,0.5668430335097002,0.5298059964726631
