Model,Dataset,Condition,N,Parse_Errors,Strict_F1,Relaxed_F1,Relaxed_EM,Evidence_F1
Qwen2.5-14B,Controlled-safe16K-200,no_evidence,200,0,0.0,0.0,0.0,0.0
Qwen2.5-14B,Controlled-safe16K-200,direct,200,0,0.35200000000000004,0.5375,0.465,0.5958333333333333
Qwen2.5-14B,Controlled-safe16K-200,retrieve_then_read,200,0,0.8530000000000001,0.975,0.975,0.9748333333333333
Qwen2.5-14B,Controlled-safe16K-200,oracle,200,0,0.8270000000000001,0.9033333333333333,0.71,1.0
Qwen2.5-14B,HotpotQA-ONCU-200,no_evidence,200,0,0.23768253968253966,0.24112301587301588,0.185,0.0
Qwen2.5-14B,HotpotQA-ONCU-200,direct,200,0,0.7481312576312575,0.7325677655677655,0.575,0.688107142857143
Qwen2.5-14B,HotpotQA-ONCU-200,retrieve_then_read,200,0,0.5953293650793651,0.5896825396825396,0.475,0.4776547619047619
Qwen2.5-14B,HotpotQA-ONCU-200,oracle,200,0,0.7876970300940889,0.7671930618401206,0.625,0.8672142857142856
Qwen3-14B,Controlled-safe16K-200,no_evidence,200,0,0.006000000000000001,0.0075,0.0,0.0
Qwen3-14B,Controlled-safe16K-200,direct,200,0,0.45833333333333326,0.5258333333333334,0.495,0.7056666666666668
Qwen3-14B,Controlled-safe16K-200,retrieve_then_read,200,0,0.9070000000000001,0.9925,0.99,0.9715
Qwen3-14B,Controlled-safe16K-200,oracle,200,0,0.9180000000000001,0.995,0.995,1.0
Qwen3-14B,HotpotQA-ONCU-200,no_evidence,200,0,0.29848917748917747,0.3014791401409048,0.205,0.0
Qwen3-14B,HotpotQA-ONCU-200,direct,200,0,0.7020723998223997,0.6888260628260627,0.535,0.680107142857143
Qwen3-14B,HotpotQA-ONCU-200,retrieve_then_read,200,0,0.5622305194805195,0.5580530303030302,0.425,0.4694047619047619
Qwen3-14B,HotpotQA-ONCU-200,oracle,200,1,0.80944227994228,0.7953986291486292,0.66,0.8266071428571428
Gemma3-12B,Controlled-safe16K-200,no_evidence,200,0,0.0,0.0,0.0,0.0
Gemma3-12B,Controlled-safe16K-200,direct,200,6,0.3281111111111111,0.5139583333333334,0.415,0.6733333333333335
Gemma3-12B,Controlled-safe16K-200,retrieve_then_read,200,0,0.6206666666666666,0.845,0.815,0.7933333333333333
Gemma3-12B,Controlled-safe16K-200,oracle,200,0,0.72,0.99,0.99,0.9133333333333333
Gemma3-12B,HotpotQA-ONCU-200,no_evidence,200,0,0.2909126984126984,0.29093650793650794,0.195,0.0
Gemma3-12B,HotpotQA-ONCU-200,direct,200,0,0.6817765863169089,0.6684289044289045,0.545,0.5756785714285715
Gemma3-12B,HotpotQA-ONCU-200,retrieve_then_read,200,0,0.5646875901875902,0.5610729548229548,0.44,0.4061190476190476
Gemma3-12B,HotpotQA-ONCU-200,oracle,200,0,0.810738677988678,0.7909013764013764,0.66,0.7529523809523809
