Model,Dataset,Condition,Valid_Groups,S_no,S_oracle,S_condition,ONCU_Relaxed_F1
Qwen2.5-14B,Controlled-safe16K-200,retrieve_then_read,134,0.0,0.9087893864013268,0.9813432835820896,0.9813432835820896
Qwen2.5-14B,Controlled-safe16K-200,direct,134,0.0,0.9087893864013268,0.5460199004975125,0.5831556503198294
Qwen2.5-14B,HotpotQA-ONCU-200,direct,29,0.2118399927020616,0.7931083675733778,0.7626973074817902,0.9055748924091004
Qwen2.5-14B,HotpotQA-ONCU-200,retrieve_then_read,29,0.2118399927020616,0.7931083675733778,0.5930685550082102,0.6387119907436909
Qwen3-14B,Controlled-safe16K-200,retrieve_then_read,133,0.0075187969924812,1.0,0.9943609022556392,0.9943609022556392
Qwen3-14B,Controlled-safe16K-200,direct,133,0.0075187969924812,1.0,0.5350877192982456,0.5350877192982456
Qwen3-14B,HotpotQA-ONCU-200,direct,28,0.236310367581376,0.8042182668521953,0.7017227266780839,0.7873792898799407
Qwen3-14B,HotpotQA-ONCU-200,retrieve_then_read,28,0.236310367581376,0.8042182668521953,0.5574245215763073,0.5568241089759431
Gemma3-12B,Controlled-safe16K-200,retrieve_then_read,133,0.0,0.9962406015037594,0.8421052631578947,0.8421052631578947
Gemma3-12B,Controlled-safe16K-200,direct,133,0.0,0.9962406015037594,0.5147243107769424,0.5147243107769424
Gemma3-12B,HotpotQA-ONCU-200,direct,28,0.2151821145124716,0.7869017440892441,0.6517687719027004,0.718809157380553
Gemma3-12B,HotpotQA-ONCU-200,retrieve_then_read,28,0.2151821145124716,0.7869017440892441,0.5495601306762021,0.5361990969417451
