long_method,score_field,valid_groups,cue_clipped_mean,cue_raw_mean,score_no_evidence_mean,score_oracle_mean,score_long_mean,oncu_clipped_mean,oncu_raw_mean
retrieve_then_read,answer_f1,134,0.9300229621125145,1.1066398775353998,0.0,0.8340796019900497,0.8554726368159205,0.9300229621125145,1.1066398775353998
direct,answer_f1,134,0.4195752009184845,0.479276693455798,0.0,0.8340796019900497,0.3656716417910448,0.4195752009184845,0.479276693455798
retrieve_then_read,answer_f1_relaxed,134,0.9813432835820896,1.1178038379530917,0.0,0.9087893864013268,0.9813432835820896,0.9813432835820896,1.1178038379530917
direct,answer_f1_relaxed,134,0.5831556503198294,0.6279317697228145,0.0,0.9087893864013268,0.5460199004975125,0.5831556503198294,0.6279317697228145
retrieve_then_read,answer_f1_strict,134,0.9300229621125145,1.1066398775353998,0.0,0.8340796019900497,0.8554726368159205,0.9300229621125145,1.1066398775353998
direct,answer_f1_strict,134,0.4195752009184845,0.479276693455798,0.0,0.8340796019900497,0.3656716417910448,0.4195752009184845,0.479276693455798
retrieve_then_read,exact_match,79,0.8037974683544303,0.8164556962025317,0.0,0.9852320675105484,0.8037974683544303,0.8037974683544303,0.8164556962025317
direct,exact_match,79,0.2848101265822785,0.2848101265822785,0.0,0.9852320675105484,0.2848101265822785,0.2848101265822785,0.2848101265822785
retrieve_then_read,exact_match_relaxed,98,0.9744897959183674,0.9948979591836736,0.0,0.9931972789115646,0.9744897959183674,0.9744897959183674,0.9948979591836736
direct,exact_match_relaxed,98,0.5204081632653061,0.5204081632653061,0.0,0.9931972789115646,0.5204081632653061,0.5204081632653061,0.5204081632653061
retrieve_then_read,exact_match_strict,79,0.8037974683544303,0.8164556962025317,0.0,0.9852320675105484,0.8037974683544303,0.8037974683544303,0.8164556962025317
direct,exact_match_strict,79,0.2848101265822785,0.2848101265822785,0.0,0.9852320675105484,0.2848101265822785,0.2848101265822785,0.2848101265822785
