source,model_name,reasoning_type,context_length,evidence_position,evidence_density,distractor_similarity,long_method,score_field,score_no_evidence,score_oracle,score_long,n,cue_valid,cue_invalid_reason,cue_raw,cue_clipped,oncu_valid,oncu_invalid_reason,oncu_raw,oncu_clipped
hotpotqa,qwen2.5:14b,comparison,4000,end,low,unknown,direct,exact_match_strict,1.0,1.0,1.0,4,False,oracle_not_above_no_evidence,,,False,oracle_not_above_no_evidence,,
hotpotqa,qwen2.5:14b,comparison,4000,end,low,unknown,retrieve_then_read,exact_match_strict,1.0,1.0,1.0,4,False,oracle_not_above_no_evidence,,,False,oracle_not_above_no_evidence,,
hotpotqa,qwen2.5:14b,comparison,4000,end,low,unknown,direct,answer_f1_strict,1.0,1.0,1.0,4,False,oracle_not_above_no_evidence,,,False,oracle_not_above_no_evidence,,
hotpotqa,qwen2.5:14b,comparison,4000,end,low,unknown,retrieve_then_read,answer_f1_strict,1.0,1.0,1.0,4,False,oracle_not_above_no_evidence,,,False,oracle_not_above_no_evidence,,
hotpotqa,qwen2.5:14b,comparison,4000,end,low,unknown,direct,exact_match_relaxed,1.0,1.0,1.0,4,False,oracle_not_above_no_evidence,,,False,oracle_not_above_no_evidence,,
hotpotqa,qwen2.5:14b,comparison,4000,end,low,unknown,retrieve_then_read,exact_match_relaxed,1.0,1.0,1.0,4,False,oracle_not_above_no_evidence,,,False,oracle_not_above_no_evidence,,
hotpotqa,qwen2.5:14b,comparison,4000,end,low,unknown,direct,answer_f1_relaxed,1.0,1.0,1.0,4,False,oracle_not_above_no_evidence,,,False,oracle_not_above_no_evidence,,
hotpotqa,qwen2.5:14b,comparison,4000,end,low,unknown,retrieve_then_read,answer_f1_relaxed,1.0,1.0,1.0,4,False,oracle_not_above_no_evidence,,,False,oracle_not_above_no_evidence,,
hotpotqa,qwen2.5:14b,comparison,4000,end,low,unknown,direct,exact_match,1.0,1.0,1.0,4,False,oracle_not_above_no_evidence,,,False,oracle_not_above_no_evidence,,
hotpotqa,qwen2.5:14b,comparison,4000,end,low,unknown,retrieve_then_read,exact_match,1.0,1.0,1.0,4,False,oracle_not_above_no_evidence,,,False,oracle_not_above_no_evidence,,
hotpotqa,qwen2.5:14b,comparison,4000,end,low,unknown,direct,answer_f1,1.0,1.0,1.0,4,False,oracle_not_above_no_evidence,,,False,oracle_not_above_no_evidence,,
hotpotqa,qwen2.5:14b,comparison,4000,end,low,unknown,retrieve_then_read,answer_f1,1.0,1.0,1.0,4,False,oracle_not_above_no_evidence,,,False,oracle_not_above_no_evidence,,
hotpotqa,qwen2.5:14b,comparison,4000,end,medium,unknown,direct,exact_match_strict,1.0,1.0,1.0,8,False,oracle_not_above_no_evidence,,,False,oracle_not_above_no_evidence,,
hotpotqa,qwen2.5:14b,comparison,4000,end,medium,unknown,retrieve_then_read,exact_match_strict,1.0,1.0,1.0,8,False,oracle_not_above_no_evidence,,,False,oracle_not_above_no_evidence,,
hotpotqa,qwen2.5:14b,comparison,4000,end,medium,unknown,direct,answer_f1_strict,1.0,1.0,1.0,8,False,oracle_not_above_no_evidence,,,False,oracle_not_above_no_evidence,,
hotpotqa,qwen2.5:14b,comparison,4000,end,medium,unknown,retrieve_then_read,answer_f1_strict,1.0,1.0,1.0,8,False,oracle_not_above_no_evidence,,,False,oracle_not_above_no_evidence,,
hotpotqa,qwen2.5:14b,comparison,4000,end,medium,unknown,direct,exact_match_relaxed,1.0,1.0,1.0,8,False,oracle_not_above_no_evidence,,,False,oracle_not_above_no_evidence,,
hotpotqa,qwen2.5:14b,comparison,4000,end,medium,unknown,retrieve_then_read,exact_match_relaxed,1.0,1.0,1.0,8,False,oracle_not_above_no_evidence,,,False,oracle_not_above_no_evidence,,
hotpotqa,qwen2.5:14b,comparison,4000,end,medium,unknown,direct,answer_f1_relaxed,1.0,1.0,1.0,8,False,oracle_not_above_no_evidence,,,False,oracle_not_above_no_evidence,,
hotpotqa,qwen2.5:14b,comparison,4000,end,medium,unknown,retrieve_then_read,answer_f1_relaxed,1.0,1.0,1.0,8,False,oracle_not_above_no_evidence,,,False,oracle_not_above_no_evidence,,
hotpotqa,qwen2.5:14b,comparison,4000,end,medium,unknown,direct,exact_match,1.0,1.0,1.0,8,False,oracle_not_above_no_evidence,,,False,oracle_not_above_no_evidence,,
