analysis,family,model,dataset,contrast,metric,estimate,ci_low,ci_high,effect_size,p_value,p_holm,p_bh_fdr,n,interpretation
Controlled-safe16K-200: retrieved minus full,condition_effects_confirmatory,Gemma3-12B,Controlled-safe16K-200,retrieved - full,answer_f1_relaxed,0.33104166666666673,0.2677083333333334,0.3945885416666666,0.7124953262565576,7.039219627758817e-24,4.9274537394311715e-23,2.1117658883276448e-23,200,Positive values support the controlled full-context utilization bottleneck.
Controlled-safe16K-200: retrieved minus full,condition_effects_confirmatory,Qwen2.5-14B,Controlled-safe16K-200,retrieved - full,answer_f1_relaxed,0.4375,0.37164583333333334,0.5033541666666664,0.9203418858964161,9.975595435119642e-39,7.980476348095714e-38,4.489017945803839e-38,200,Positive values support the controlled full-context utilization bottleneck.
Controlled-safe16K-200: retrieved minus full,condition_effects_confirmatory,Qwen3-14B,Controlled-safe16K-200,retrieved - full,answer_f1_relaxed,0.46666666666666673,0.4025,0.5333541666666664,0.9648228101017314,2.1723906258218044e-42,1.955151563239624e-41,1.955151563239624e-41,200,Positive values support the controlled full-context utilization bottleneck.
HotpotQA-ONCU-200: full minus retrieved,condition_effects_confirmatory,Gemma3-12B,HotpotQA-ONCU-200,full - retrieved,answer_f1_relaxed,0.10735594960594959,0.048175081168831166,0.16696515082140073,0.24904902816898364,0.00042816662045485227,0.00042816662045485227,0.00042816662045485227,200,Positive values support the realistic multi-hop retrieval-coverage bottleneck.
HotpotQA-ONCU-200: full minus retrieved,condition_effects_confirmatory,Qwen2.5-14B,HotpotQA-ONCU-200,full - retrieved,answer_f1_relaxed,0.1428852258852259,0.08660505952380954,0.20090498321123298,0.3427497698543593,1.2520751517456668e-06,3.7562254552370005e-06,1.609810909387286e-06,200,Positive values support the realistic multi-hop retrieval-coverage bottleneck.
HotpotQA-ONCU-200: full minus retrieved,condition_effects_confirmatory,Qwen3-14B,HotpotQA-ONCU-200,full - retrieved,answer_f1_relaxed,0.13077303252303252,0.07523092532467532,0.18829208152958152,0.3180753126483911,6.851052334814183e-06,1.3702104669628366e-05,7.707433876665957e-06,200,Positive values support the realistic multi-hop retrieval-coverage bottleneck.
2WikiMultiHopQA-ONCU-500: full minus retrieved,condition_effects_confirmatory,Gemma3-12B,2WikiMultiHopQA-ONCU-500,full - retrieved,answer_f1_relaxed,0.14211606171606173,0.09384048090798092,0.18973953213453212,0.2645231353306909,3.3204273247217396e-09,1.3281709298886958e-08,4.980640987082609e-09,500,Positive values support the realistic multi-hop retrieval-coverage bottleneck.
2WikiMultiHopQA-ONCU-500: full minus retrieved,condition_effects_confirmatory,Qwen2.5-14B,2WikiMultiHopQA-ONCU-500,full - retrieved,answer_f1_relaxed,0.17063813963813965,0.13069097513597513,0.21035121933621914,0.36992659625123725,1.3194027389510882e-16,7.916416433706529e-16,2.9686561626399487e-16,500,Positive values support the realistic multi-hop retrieval-coverage bottleneck.
2WikiMultiHopQA-ONCU-500: full minus retrieved,condition_effects_confirmatory,Qwen3-14B,2WikiMultiHopQA-ONCU-500,full - retrieved,answer_f1_relaxed,0.16033998158704044,0.12110735303911774,0.19889730455818688,0.3560431929921169,1.7014775694129694e-15,8.507387847064847e-15,3.062659624943345e-15,500,Positive values support the realistic multi-hop retrieval-coverage bottleneck.
Controlled scaling: 4K minus 32K full-context ONCU,scaling_effects_confirmatory,Gemma3-12B,Controlled-scaling-3200,4K - 32K full-context ONCU,ONCU_Relaxed_F1,0.6343963451917318,0.4688887850708269,0.7595986930005523,2.5005465004971112,2.6277296209438664e-15,5.619511439200037e-15,2.95619582356185e-15,10,Positive values indicate length-induced full-context utilization loss.
Controlled scaling: 32K final decile minus early/middle deciles,scaling_effects_confirmatory,Gemma3-12B,Controlled-scaling-3200,pos_09 - mean(pos_00..pos_07) at 32K,ONCU_Relaxed_F1,0.7042990869586683,0.6804237777318135,0.7266784729235807,19.459052439639272,0.0,0.0,0.0,8,Positive values indicate recency/end-position advantage at 32K.
Controlled scaling: 32K retrieved minus full-context ONCU,scaling_effects_confirmatory,Gemma3-12B,Controlled-scaling-3200,retrieved - full at 32K,ONCU_Relaxed_F1,0.6921297350220901,0.5338312310098877,0.8086514890256264,2.8881866399774836,6.64743046379721e-20,3.988458278278326e-19,1.4956718543543723e-19,10,Positive values indicate that compact evidence recovers oracle-normalized advantage at 32K.
Controlled scaling: 4K minus 32K full-context ONCU,scaling_effects_confirmatory,Qwen2.5-14B,Controlled-scaling-3200,4K - 32K full-context ONCU,ONCU_Relaxed_F1,0.8359657922121354,0.6347926208048554,0.9785923082784975,2.60760918638949,1.6380621092486214e-16,8.190310546243107e-16,2.544388259510513e-16,10,Positive values indicate length-induced full-context utilization loss.
Controlled scaling: 32K final decile minus early/middle deciles,scaling_effects_confirmatory,Qwen2.5-14B,Controlled-scaling-3200,pos_09 - mean(pos_00..pos_07) at 32K,ONCU_Relaxed_F1,0.9754320135255615,0.9609393678786762,0.9883412850702672,44.65883447379606,0.0,0.0,0.0,8,Positive values indicate recency/end-position advantage at 32K.
Controlled scaling: 32K retrieved minus full-context ONCU,scaling_effects_confirmatory,Qwen2.5-14B,Controlled-scaling-3200,retrieved - full at 32K,ONCU_Relaxed_F1,0.8372825477573862,0.6357523152117768,0.9803299786027503,2.60628891849059,1.6962588396736755e-16,8.190310546243107e-16,2.544388259510513e-16,10,Positive values indicate that compact evidence recovers oracle-normalized advantage at 32K.
Controlled scaling: 4K minus 32K full-context ONCU,scaling_effects_confirmatory,Qwen3-14B,Controlled-scaling-3200,4K - 32K full-context ONCU,ONCU_Relaxed_F1,0.8292806419797438,0.6171738461685129,0.9848657103335723,2.4548824922309,8.293048708658796e-15,8.293048708658796e-15,8.293048708658796e-15,10,Positive values indicate length-induced full-context utilization loss.
Controlled scaling: 32K final decile minus early/middle deciles,scaling_effects_confirmatory,Qwen3-14B,Controlled-scaling-3200,pos_09 - mean(pos_00..pos_07) at 32K,ONCU_Relaxed_F1,1.0,1.0,1.0,inf,0.0,0.0,0.0,8,Positive values indicate recency/end-position advantage at 32K.
Controlled scaling: 32K retrieved minus full-context ONCU,scaling_effects_confirmatory,Qwen3-14B,Controlled-scaling-3200,retrieved - full at 32K,ONCU_Relaxed_F1,0.8495798319327731,0.6487394957983194,1.0,2.5138419020997618,1.8731704797333456e-15,5.619511439200037e-15,2.4083620453714442e-15,10,Positive values indicate that compact evidence recovers oracle-normalized advantage at 32K.
Retriever ablation: lexical top-16 minus top-3 chain coverage,retriever_effects_exploratory,retrieval-only,HotpotQA-ONCU-200,lexical top16 - top3,full_chain_coverage,0.21,0.155,0.265,0.5142894816016325,3.5119580965143045e-13,1.0535874289542914e-12,7.023916193028609e-13,200,Positive values indicate that larger retrieval budgets recover more complete evidence chains.
