analysis,family,model,dataset,term,estimate,standard_error,p_value,r_squared,n,metric,interpretation,p_holm,p_bh_fdr
Controlled scaling OLS over length-position cells,regression_effects_exploratory,Gemma3-12B,Controlled-scaling-3200,intercept,0.44952982769150956,0.025391599778701028,3.913913564490022e-70,0.7725127090442533,40,full-context ONCU_Relaxed_F1,,7.045044416082041e-69,3.718217886265521e-69
Controlled scaling OLS over length-position cells,regression_effects_exploratory,Gemma3-12B,Controlled-scaling-3200,log2_context_length_centered,-0.21390225225516155,0.022710937265057643,4.577142455899998e-21,0.7725127090442533,40,full-context ONCU_Relaxed_F1,Negative controlled-scaling coefficients indicate lower ONCU at longer contexts.,6.407999438259997e-20,1.4494284443683326e-20
Controlled scaling OLS over length-position cells,regression_effects_exploratory,Gemma3-12B,Controlled-scaling-3200,position_fraction_centered,0.25599668476419346,0.04420110170441491,6.9704149119984356e-09,0.7725127090442533,40,full-context ONCU_Relaxed_F1,Positive coefficients indicate stronger utilization near later evidence positions.,4.1822489471990306e-08,8.829192221864684e-09
Controlled scaling OLS over length-position cells,regression_effects_exploratory,Gemma3-12B,Controlled-scaling-3200,distance_from_end_centered,-0.25599668476419357,0.04420110170441491,6.970414911998384e-09,0.7725127090442533,40,full-context ONCU_Relaxed_F1,Negative coefficients indicate an end-position advantage.,4.1822489471990306e-08,8.829192221864684e-09
Controlled scaling OLS over length-position cells,regression_effects_exploratory,Qwen2.5-14B,Controlled-scaling-3200,intercept,0.515219398872041,0.03668055850055953,8.137567116789203e-45,0.7487513199304897,40,full-context ONCU_Relaxed_F1,,1.3833864098541645e-43,5.153792507299828e-44
Controlled scaling OLS over length-position cells,regression_effects_exploratory,Qwen2.5-14B,Controlled-scaling-3200,log2_context_length_centered,-0.2805849046886742,0.03280808890396355,1.2065056247685229e-17,0.7487513199304897,40,full-context ONCU_Relaxed_F1,Negative controlled-scaling coefficients indicate lower ONCU at longer contexts.,1.5684573121990797e-16,2.997215482593702e-17
Controlled scaling OLS over length-position cells,regression_effects_exploratory,Qwen2.5-14B,Controlled-scaling-3200,position_fraction_centered,0.373100368193638,0.06385265642923249,5.122420952827187e-09,0.7487513199304897,40,full-context ONCU_Relaxed_F1,Positive coefficients indicate stronger utilization near later evidence positions.,4.097936762261626e-08,7.486615238747427e-09
Controlled scaling OLS over length-position cells,regression_effects_exploratory,Qwen2.5-14B,Controlled-scaling-3200,distance_from_end_centered,-0.3731003681936383,0.06385265642923249,5.1224209528270325e-09,0.7487513199304897,40,full-context ONCU_Relaxed_F1,Negative coefficients indicate an end-position advantage.,4.097936762261626e-08,7.486615238747427e-09
Controlled scaling OLS over length-position cells,regression_effects_exploratory,Qwen3-14B,Controlled-scaling-3200,intercept,0.5119910175764477,0.0367005443348082,3.123987202235117e-44,0.7508729238584209,40,full-context ONCU_Relaxed_F1,,4.998379523576187e-43,1.4838939210616805e-43
Controlled scaling OLS over length-position cells,regression_effects_exploratory,Qwen3-14B,Controlled-scaling-3200,log2_context_length_centered,-0.2805674425471539,0.03282596477755037,1.2619854663552428e-17,0.7508729238584209,40,full-context ONCU_Relaxed_F1,Negative controlled-scaling coefficients indicate lower ONCU at longer contexts.,1.5684573121990797e-16,2.997215482593702e-17
Controlled scaling OLS over length-position cells,regression_effects_exploratory,Qwen3-14B,Controlled-scaling-3200,position_fraction_centered,0.38039229264513863,0.06388744730101577,2.615058091720973e-09,0.7508729238584209,40,full-context ONCU_Relaxed_F1,Positive coefficients indicate stronger utilization near later evidence positions.,2.6150580917209338e-08,4.516918522063499e-09
Controlled scaling OLS over length-position cells,regression_effects_exploratory,Qwen3-14B,Controlled-scaling-3200,distance_from_end_centered,-0.38039229264513885,0.06388744730101577,2.6150580917209338e-09,0.7508729238584209,40,full-context ONCU_Relaxed_F1,Negative coefficients indicate an end-position advantage.,2.6150580917209338e-08,4.516918522063499e-09
Retriever-family OLS over retrieval summary cells,regression_effects_exploratory,retrieval-only,HotpotQA-ONCU-200 + 2WikiMultiHopQA-ONCU-500,intercept,0.5842749999999998,0.030985804397241953,2.612655327241037e-79,0.8978555953956286,40,full_chain_coverage,,4.96404512175797e-78,4.96404512175797e-78
Retriever-family OLS over retrieval summary cells,regression_effects_exploratory,retrieval-only,HotpotQA-ONCU-200 + 2WikiMultiHopQA-ONCU-500,log2_top_k_centered,0.10111358308084481,0.014224622059051962,1.1743898438625508e-12,0.8978555953956286,40,full_chain_coverage,Positive coefficients indicate greater full-chain coverage at larger retrieval budgets.,1.291828828248806e-11,2.4792674481542736e-12
Retriever-family OLS over retrieval summary cells,regression_effects_exploratory,retrieval-only,HotpotQA-ONCU-200 + 2WikiMultiHopQA-ONCU-500,retriever_dense_vs_lexical,0.037249999999999964,0.04000250146645278,0.3517543761998208,0.8978555953956286,40,full_chain_coverage,Retriever-family coefficient relative to lexical retrieval.,0.7035087523996416,0.37129628598869974
Retriever-family OLS over retrieval summary cells,regression_effects_exploratory,retrieval-only,HotpotQA-ONCU-200 + 2WikiMultiHopQA-ONCU-500,retriever_hybrid_vs_lexical,0.013625000000000118,0.04000250146645279,0.733401943805785,0.8978555953956286,40,full_chain_coverage,Retriever-family coefficient relative to lexical retrieval.,0.733401943805785,0.733401943805785
Retriever-family OLS over retrieval summary cells,regression_effects_exploratory,retrieval-only,HotpotQA-ONCU-200 + 2WikiMultiHopQA-ONCU-500,retriever_iterative_vs_lexical,-0.12450000000000006,0.04000250146645279,0.0018563237424379254,0.8978555953956286,40,full_chain_coverage,Retriever-family coefficient relative to lexical retrieval.,0.005568971227313776,0.002074714770960034
Retriever-family OLS over retrieval summary cells,regression_effects_exploratory,retrieval-only,HotpotQA-ONCU-200 + 2WikiMultiHopQA-ONCU-500,retriever_oracle_vs_lexical,0.42725,0.04000250146645279,1.2548237777416634e-26,0.8978555953956286,40,full_chain_coverage,Retriever-family coefficient relative to lexical retrieval.,1.882235666612495e-25,4.7683303554183205e-26
Retriever-family OLS over retrieval summary cells,regression_effects_exploratory,retrieval-only,HotpotQA-ONCU-200 + 2WikiMultiHopQA-ONCU-500,dataset_2WikiMultiHopQA-ONCU-500_vs_HotpotQA,-0.11680000000000014,0.025299803347643306,3.900091996918693e-06,0.8978555953956286,40,full_chain_coverage,,1.5600367987674772e-05,4.631359246340948e-06
